"","study","pat.con","id","trial","reward","pun","choices","fullid"
"1",1,0,1,1,0,1,1,1
"2",1,0,1,2,0,1,2,1
"3",1,0,1,3,1,0,2,1
"4",1,0,1,4,0,1,2,1
"5",1,0,1,5,0,1,2,1
"6",1,0,1,6,1,0,2,1
"7",1,0,1,7,0,1,2,1
"8",1,0,1,8,0,1,2,1
"9",1,0,1,9,0,1,2,1
"10",1,0,1,10,0,1,2,1
"11",1,0,1,11,1,0,2,1
"12",1,0,1,12,0,1,2,1
"13",1,0,1,13,0,1,2,1
"14",1,0,1,14,0,1,2,1
"15",1,0,1,15,0,1,2,1
"16",1,0,1,16,1,0,2,1
"17",1,0,1,17,1,0,2,1
"18",1,0,1,18,1,0,2,1
"19",1,0,1,19,1,0,1,1
"20",1,0,1,20,1,0,1,1
"21",1,0,1,21,1,0,1,1
"22",1,0,1,22,1,0,1,1
"23",1,0,1,23,1,0,1,1
"24",1,0,1,24,1,0,1,1
"25",1,0,1,25,1,0,1,1
"26",1,0,1,26,1,0,1,1
"27",1,0,1,27,1,0,1,1
"28",1,0,1,28,1,0,1,1
"29",1,0,1,29,0,1,1,1
"30",1,0,1,30,1,0,1,1
"31",1,0,1,31,0,1,1,1
"32",1,0,1,32,0,1,1,1
"33",1,0,1,33,0,1,2,1
"34",1,0,1,34,0,1,1,1
"35",1,0,1,35,0,1,2,1
"36",1,0,1,36,0,1,2,1
"37",1,0,1,37,0,1,2,1
"38",1,0,1,38,0,1,2,1
"39",1,0,1,39,0,1,2,1
"40",1,0,1,40,0,1,2,1
"41",1,0,1,41,0,1,2,1
"42",1,0,1,42,0,1,2,1
"43",1,0,1,43,0,1,2,1
"44",1,0,1,44,0,1,2,1
"45",1,0,1,45,0,1,2,1
"46",1,0,1,46,1,0,2,1
"47",1,0,1,47,1,0,2,1
"48",1,0,1,48,1,0,2,1
"49",1,0,1,49,1,0,2,1
"50",1,0,1,50,0,1,1,1
"51",1,0,1,51,1,0,2,1
"52",1,0,1,52,0,1,2,1
"53",1,0,1,53,0,1,2,1
"54",1,0,1,54,1,0,2,1
"55",1,0,1,55,1,0,2,1
"56",1,0,1,56,0,1,2,1
"57",1,0,1,57,0,1,2,1
"58",1,0,1,58,1,0,2,1
"59",1,0,1,59,1,0,2,1
"60",1,0,1,60,1,0,2,1
"61",1,0,1,61,0,1,1,1
"62",1,0,1,62,0,1,2,1
"63",1,0,1,63,0,1,2,1
"64",1,0,1,64,0,1,2,1
"65",1,0,1,65,0,1,2,1
"66",1,0,1,66,0,1,2,1
"67",1,0,1,67,0,1,2,1
"68",1,0,1,68,0,1,2,1
"69",1,0,1,69,0,1,2,1
"70",1,0,1,70,0,1,2,1
"71",1,0,1,71,0,1,2,1
"72",1,0,1,72,0,1,2,1
"73",1,0,1,73,1,0,2,1
"74",1,0,1,74,0,1,2,1
"75",1,0,1,75,0,1,2,1
"76",1,0,1,76,0,1,2,1
"77",1,0,1,77,1,0,2,1
"78",1,0,1,78,1,0,2,1
"79",1,0,1,79,1,0,2,1
"80",1,0,1,80,1,0,2,1
"81",1,0,1,81,1,0,2,1
"82",1,0,1,82,1,0,2,1
"83",1,0,1,83,1,0,1,1
"84",1,0,1,84,0,1,1,1
"85",1,0,1,85,1,0,1,1
"86",1,0,1,86,1,0,1,1
"87",1,0,1,87,1,0,1,1
"88",1,0,1,88,1,0,1,1
"89",1,0,1,89,1,0,1,1
"90",1,0,1,90,1,0,1,1
"91",1,0,1,91,0,1,1,1
"92",1,0,1,92,0,1,1,1
"93",1,0,1,93,0,1,1,1
"94",1,0,1,94,0,1,1,1
"95",1,0,1,95,0,1,1,1
"96",1,0,1,96,0,1,1,1
"97",1,0,1,97,0,1,2,1
"98",1,0,1,98,1,0,2,1
"99",1,0,1,99,0,1,2,1
"100",1,0,1,100,0,1,2,1
"101",1,0,1,101,0,1,2,1
"102",1,0,1,102,0,1,2,1
"103",1,0,1,103,0,1,2,1
"104",1,0,1,104,0,1,2,1
"105",1,0,1,105,1,0,2,1
"106",1,0,1,106,1,0,2,1
"107",1,0,1,107,1,0,2,1
"108",1,0,1,108,0,1,2,1
"109",1,0,1,109,1,0,2,1
"110",1,0,1,110,1,0,2,1
"111",1,0,1,111,1,0,2,1
"112",1,0,1,112,0,1,2,1
"113",1,0,1,113,1,0,2,1
"114",1,0,1,114,1,0,2,1
"115",1,0,1,115,0,1,2,1
"116",1,0,1,116,0,1,2,1
"117",1,0,1,117,1,0,2,1
"118",1,0,1,118,1,0,2,1
"119",1,0,1,119,1,0,2,1
"120",1,0,1,120,0,1,2,1
"121",1,0,1,121,0,1,2,1
"122",1,0,1,122,0,1,2,1
"123",1,0,1,123,0,1,2,1
"124",1,0,1,124,0,1,2,1
"125",1,0,1,125,0,1,2,1
"126",1,0,1,126,0,1,2,1
"127",1,0,1,127,0,1,2,1
"128",1,0,1,128,1,0,2,1
"129",1,0,1,129,0,1,2,1
"130",1,0,1,130,0,1,2,1
"131",1,0,1,131,0,1,2,1
"132",1,0,1,132,0,1,2,1
"133",1,0,1,133,1,0,2,1
"134",1,0,1,134,0,1,2,1
"135",1,0,1,135,0,1,2,1
"136",1,0,1,136,1,0,2,1
"137",1,0,1,137,1,0,2,1
"138",1,0,1,138,1,0,2,1
"139",1,0,1,139,0,1,2,1
"140",1,0,1,140,1,0,2,1
"141",1,0,1,141,1,0,2,1
"142",1,0,1,142,1,0,2,1
"143",1,0,1,143,0,1,2,1
"144",1,0,1,144,1,0,2,1
"145",1,0,1,145,0,1,2,1
"146",1,0,1,146,1,0,2,1
"147",1,0,1,147,1,0,2,1
"148",1,0,1,148,1,0,2,1
"149",1,0,1,149,1,0,2,1
"150",1,0,1,150,1,0,2,1
"151",1,0,2,1,0,1,2,2
"152",1,0,2,2,0,1,2,2
"153",1,0,2,3,1,0,2,2
"154",1,0,2,4,0,1,1,2
"155",1,0,2,5,0,1,2,2
"156",1,0,2,6,1,0,2,2
"157",1,0,2,7,0,1,1,2
"158",1,0,2,8,0,1,2,2
"159",1,0,2,9,0,1,2,2
"160",1,0,2,10,0,1,2,2
"161",1,0,2,11,1,0,2,2
"162",1,0,2,12,0,1,2,2
"163",1,0,2,13,0,1,2,2
"164",1,0,2,14,0,1,2,2
"165",1,0,2,15,0,1,2,2
"166",1,0,2,16,1,0,2,2
"167",1,0,2,17,1,0,2,2
"168",1,0,2,18,1,0,2,2
"169",1,0,2,19,1,0,1,2
"170",1,0,2,20,1,0,1,2
"171",1,0,2,21,1,0,1,2
"172",1,0,2,22,1,0,1,2
"173",1,0,2,23,1,0,1,2
"174",1,0,2,24,1,0,1,2
"175",1,0,2,25,1,0,1,2
"176",1,0,2,26,1,0,1,2
"177",1,0,2,27,1,0,1,2
"178",1,0,2,28,1,0,1,2
"179",1,0,2,29,0,1,1,2
"180",1,0,2,30,1,0,1,2
"181",1,0,2,31,0,1,1,2
