"","study","pat_con","id","trial","reward","pun","choices","fullid"
"1",1,0,1,1,1,0,1,1
"2",1,0,1,2,1,0,1,1
"3",1,0,1,3,1,0,1,1
"4",1,0,1,4,1,0,2,1
"5",1,0,1,5,1,0,1,1
"6",1,0,1,6,0,0,2,1
"7",1,0,1,7,1,0,1,1
"8",1,0,1,8,1,0,2,1
"9",1,0,1,9,1,0,1,1
"10",1,0,1,10,1,0,1,1
"11",1,0,1,11,0,0,1,1
"12",1,0,1,12,1,0,2,1
"13",1,0,1,13,1,0,1,1
"14",1,0,1,14,0,1,1,1
"15",1,0,1,15,0,1,2,1
"16",1,0,1,16,0,0,1,1
"17",1,0,1,17,1,0,2,1
"18",1,0,1,18,0,0,1,1
"19",1,0,1,19,0,1,1,1
"20",1,0,1,20,0,0,2,1
"21",1,0,1,21,1,0,2,1
"22",1,0,1,22,0,0,1,1
"23",1,0,1,23,1,1,1,1
"24",1,0,1,24,1,0,2,1
"25",1,0,1,25,0,0,1,1
"26",1,0,1,26,1,1,1,1
"27",1,0,1,27,1,0,1,1
"28",1,0,1,28,0,0,1,1
"29",1,0,1,29,1,0,2,1
"30",1,0,1,30,0,1,2,1
"31",1,0,1,31,0,0,1,1
"32",1,0,1,32,0,0,1,1
"33",1,0,1,33,0,0,2,1
"34",1,0,1,34,0,1,1,1
"35",1,0,1,35,0,0,2,1
"36",1,0,1,36,0,1,2,1
"37",1,0,1,37,1,1,1,1
"38",1,0,1,38,0,1,1,1
"39",1,0,1,39,1,1,2,1
"40",1,0,1,40,1,1,1,1
"41",1,0,1,41,1,0,2,1
"42",1,0,1,42,1,0,1,1
"43",1,0,1,43,0,0,2,1
"44",1,0,1,44,0,0,2,1
"45",1,0,1,45,1,0,2,1
"46",1,0,1,46,0,0,1,1
"47",1,0,1,47,0,1,1,1
"48",1,0,1,48,0,1,2,1
"49",1,0,1,49,1,0,1,1
"50",1,0,1,50,1,0,2,1
"51",1,0,1,51,0,1,1,1
"52",1,0,1,52,0,1,2,1
"53",1,0,1,53,0,1,1,1
"54",1,0,1,54,0,1,2,1
"55",1,0,1,55,1,1,2,1
"56",1,0,1,56,0,1,1,1
"57",1,0,1,57,0,1,1,1
"58",1,0,1,58,0,1,2,1
"59",1,0,1,59,0,1,2,1
"60",1,0,1,60,0,0,2,1
"61",1,0,1,61,0,1,1,1
"62",1,0,1,62,1,0,2,1
"63",1,0,1,63,1,0,1,1
"64",1,0,1,64,0,0,1,1
"65",1,0,1,65,0,0,1,1
"66",1,0,1,66,0,0,2,1
"67",1,0,1,67,0,1,2,1
"68",1,0,1,68,0,1,2,1
"69",1,0,1,69,1,0,2,1
"70",1,0,1,70,0,1,1,1
"71",1,0,1,71,1,1,1,1
"72",1,0,1,72,0,0,2,1
"73",1,0,1,73,0,1,1,1
"74",1,0,1,74,0,0,2,1
"75",1,0,1,75,0,1,2,1
"76",1,0,1,76,0,1,2,1
"77",1,0,1,77,0,1,1,1
"78",1,0,1,78,0,1,2,1
"79",1,0,1,79,1,1,1,1
"80",1,0,1,80,0,0,2,1
"81",1,0,1,81,0,0,2,1
"82",1,0,1,82,0,0,1,1
"83",1,0,1,83,0,0,2,1
"84",1,0,1,84,0,0,2,1
"85",1,0,1,85,1,1,1,1
"86",1,0,1,86,0,1,2,1
"87",1,0,1,87,0,0,1,1
"88",1,0,1,88,0,0,2,1
"89",1,0,1,89,1,0,1,1
"90",1,0,1,90,0,1,2,1
"91",1,0,1,91,0,0,2,1
"92",1,0,1,92,1,0,1,1
"93",1,0,1,93,0,0,1,1
"94",1,0,1,94,0,0,2,1
"95",1,0,1,95,0,0,1,1
"96",1,0,1,96,0,0,2,1
"97",1,0,1,97,0,0,2,1
"98",1,0,1,98,0,0,1,1
"99",1,0,1,99,0,0,2,1
"100",1,0,1,100,0,0,1,1
"101",1,0,1,101,0,1,2,1
"102",1,0,1,102,0,0,1,1
"103",1,0,1,103,0,0,1,1
"104",1,0,1,104,0,0,2,1
"105",1,0,1,105,0,0,2,1
"106",1,0,1,106,0,0,2,1
"107",1,0,1,107,1,0,2,1
"108",1,0,1,108,0,1,1,1
"109",1,0,1,109,1,1,2,1
"110",1,0,1,110,0,1,1,1
"111",1,0,1,111,1,0,2,1
"112",1,0,1,112,0,0,1,1
"113",1,0,1,113,0,1,2,1
"114",1,0,1,114,1,1,1,1
"115",1,0,1,115,0,0,1,1
"116",1,0,1,116,0,0,2,1
"117",1,0,1,117,0,0,2,1
"118",1,0,1,118,0,0,1,1
"119",1,0,1,119,0,1,2,1
"120",1,0,1,120,0,0,1,1
"121",1,0,1,121,0,1,1,1
"122",1,0,1,122,0,0,2,1
"123",1,0,1,123,0,0,1,1
"124",1,0,1,124,0,0,2,1
"125",1,0,1,125,1,0,2,1
"126",1,0,1,126,0,0,1,1
"127",1,0,1,127,1,0,1,1
"128",1,0,1,128,1,0,2,1
"129",1,0,1,129,0,1,1,1
"130",1,0,1,130,1,0,2,1
"131",1,0,1,131,1,0,2,1
"132",1,0,1,132,1,0,1,1
"133",1,0,1,133,1,0,1,1
"134",1,0,1,134,1,0,1,1
"135",1,0,1,135,1,0,1,1
"136",1,0,1,136,1,1,2,1
"137",1,0,1,137,0,0,1,1
"138",1,0,1,138,1,0,2,1
"139",1,0,1,139,1,0,1,1
"140",1,0,1,140,1,0,1,1
"141",1,0,1,141,1,0,1,1
"142",1,0,1,142,1,0,2,1
"143",1,0,1,143,1,0,1,1
"144",1,0,1,144,1,1,2,1
"145",1,0,1,145,1,0,1,1
"146",1,0,1,146,1,0,2,1
"147",1,0,1,147,0,0,1,1
"148",1,0,1,148,1,0,1,1
"149",1,0,1,149,1,0,1,1
"150",1,0,1,150,1,0,1,1
"151",1,0,1,151,1,0,2,1
"152",1,0,1,152,0,0,1,1
"153",1,0,1,153,1,0,2,1
"154",1,0,1,154,0,0,1,1
"155",1,0,1,155,1,0,1,1
"156",1,0,1,156,0,1,1,1
"157",1,0,1,157,0,0,2,1
"158",1,0,1,158,1,0,1,1
"159",1,0,1,159,1,0,2,1
"160",1,0,1,160,1,0,1,1
"161",1,0,1,161,1,0,1,1
"162",1,0,1,162,1,1,2,1
"163",1,0,1,163,0,0,1,1
"164",1,0,1,164,1,0,1,1
"165",1,0,1,165,1,0,2,1
"166",1,0,1,166,1,0,1,1
"167",1,0,1,167,0,1,2,1
"168",1,0,1,168,1,0,2,1
"169",1,0,1,169,1,0,2,1
"170",1,0,1,170,1,1,1,1
"171",1,0,1,171,1,1,1,1
"172",1,0,1,172,1,1,2,1
"173",1,0,1,173,1,1,1,1
"174",1,0,1,174,0,0,2,1
"175",1,0,1,175,1,0,1,1
"176",1,0,1,176,1,1,2,1
"177",1,0,1,177,1,0,2,1
"178",1,0,1,178,1,0,1,1
"179",1,0,1,179,1,1,1,1
"180",1,0,1,180,0,0,2,1
"181",1,0,1,181,1,1,1,1
"182",1,0,1,182,1,0,2,1
"183",1,0,1,183,0,1,2,1
"184",1,0,1,184,1,0,1,1
"185",1,0,1,185,0,0,1,1
"186",1,0,1,186,1,0,2,1
"187",1,0,1,187,0,0,2,1
"188",1,0,1,188,1,1,1,1
"189",1,0,1,189,0,0,1,1
"190",1,0,1,190,0,0,2,1
"191",1,0,1,191,1,0,1,1
"192",1,0,1,192,0,0,2,1
"193",1,0,1,193,1,0,1,1
"194",1,0,1,194,0,0,2,1
"195",1,0,1,195,1,0,1,1
"196",1,0,1,196,0,0,1,1
"197",1,0,1,197,1,0,2,1
"198",1,0,1,198,0,0,1,1
"199",1,0,1,199,0,0,2,1
"200",1,0,1,200,1,0,1,1
"201",1,0,2,1,1,0,2,2
"202",1,0,2,2,1,0,1,2
"203",1,0,2,3,1,0,1,2
"204",1,0,2,4,1,0,1,2
"205",1,0,2,5,1,0,1,2
"206",1,0,2,6,0,0,1,2
"207",1,0,2,7,1,0,1,2
"208",1,0,2,8,1,0,1,2
"209",1,0,2,9,1,0,1,2
"210",1,0,2,10,1,0,1,2
"211",1,0,2,11,0,0,1,2
"212",1,0,2,12,1,0,1,2
"213",1,0,2,13,1,0,1,2
"214",1,0,2,14,0,1,1,2
"215",1,0,2,15,0,1,2,2
