"","study","pat_con","id","trial","reward","pun","choices","fullid"
"1",1,0,1,1,0,1,1,1
"2",1,0,1,2,1,0,1,1
"3",1,0,1,3,1,0,2,1
"4",1,0,1,4,0,1,2,1
"5",1,0,1,5,0,1,2,1
"6",1,0,1,6,1,0,1,1
"7",1,0,1,7,1,0,1,1
"8",1,0,1,8,0,1,2,1
"9",1,0,1,9,1,0,1,1
"10",1,0,1,10,1,0,2,1
"11",1,0,1,11,0,1,2,1
"12",1,0,1,12,0,1,1,1
"13",1,0,1,13,1,0,1,1
"14",1,0,1,14,1,0,2,1
"15",1,0,1,15,0,1,1,1
"16",1,0,1,16,1,0,2,1
"17",1,0,1,17,1,0,1,1
"18",1,0,1,18,1,0,1,1
"19",1,0,1,19,0,1,1,1
"20",1,0,1,20,1,0,1,1
"21",1,0,1,21,1,0,2,1
"22",1,0,1,22,1,0,2,1
"23",1,0,1,23,1,0,1,1
"24",1,0,1,24,0,1,1,1
"25",1,0,1,25,0,1,2,1
"26",1,0,1,26,1,0,2,1
"27",1,0,1,27,1,0,1,1
"28",1,0,1,28,1,0,1,1
"29",1,0,1,29,1,0,2,1
"30",1,0,1,30,1,0,1,1
"31",1,0,1,31,1,0,1,1
"32",1,0,1,32,1,0,1,1
"33",1,0,1,33,1,0,2,1
"34",1,0,1,34,1,0,1,1
"35",1,0,1,35,0,1,2,1
"36",1,0,1,36,1,0,1,1
"37",1,0,1,37,1,0,1,1
"38",1,0,1,38,1,0,2,1
"39",1,0,1,39,1,0,1,1
"40",1,0,1,40,1,0,2,1
"41",1,0,1,41,1,0,1,1
"42",1,0,1,42,1,0,2,1
"43",1,0,1,43,1,0,1,1
"44",1,0,1,44,1,0,1,1
"45",1,0,1,45,1,0,1,1
"46",1,0,1,46,1,0,2,1
"47",1,0,1,47,0,1,1,1
"48",1,0,1,48,1,0,2,1
"49",1,0,1,49,1,0,1,1
"50",1,0,1,50,1,0,2,1
"51",1,0,1,51,1,0,1,1
"52",1,0,1,52,0,1,1,1
"53",1,0,1,53,1,0,2,1
"54",1,0,1,54,1,0,1,1
"55",1,0,1,55,1,0,1,1
"56",1,0,1,56,0,1,1,1
"57",1,0,1,57,1,0,2,1
"58",1,0,1,58,1,0,1,1
"59",1,0,1,59,1,0,1,1
"60",1,0,1,60,1,0,2,1
"61",1,0,1,61,0,1,1,1
"62",1,0,1,62,1,0,1,1
"63",1,0,1,63,1,0,2,1
"64",1,0,1,64,0,1,1,1
"65",1,0,1,65,1,0,2,1
"66",1,0,1,66,0,1,1,1
"67",1,0,1,67,1,0,2,1
"68",1,0,1,68,1,0,1,1
"69",1,0,1,69,1,0,2,1
"70",1,0,1,70,1,0,1,1
"71",1,0,1,71,0,1,1,1
"72",1,0,1,72,0,1,2,1
"73",1,0,1,73,1,0,2,1
"74",1,0,1,74,0,1,1,1
"75",1,0,1,75,0,1,1,1
"76",1,0,1,76,1,0,1,1
"77",1,0,1,77,1,0,1,1
"78",1,0,1,78,0,1,2,1
"79",1,0,1,79,1,0,2,1
"80",1,0,1,80,1,0,1,1
"81",1,0,1,81,1,0,1,1
"82",1,0,1,82,1,0,2,1
"83",1,0,1,83,0,1,1,1
"84",1,0,1,84,0,1,1,1
"85",1,0,1,85,1,0,2,1
