"","study","pat_con","id","trial","reward","pun","choices","fullid"
"1",1,0,1,1,1,1,2,1
"2",1,0,1,2,0,0,2,1
"3",1,0,1,3,0,0,1,1
"4",1,0,1,4,0,0,1,1
"5",1,0,1,5,1,0,1,1
"6",1,0,1,6,0,0,1,1
"7",1,0,1,7,1,1,1,1
"8",1,0,1,8,0,0,2,1
"9",1,0,1,9,0,1,1,1
"10",1,0,1,10,0,0,2,1
"11",1,0,1,11,1,1,2,1
"12",1,0,1,12,0,1,2,1
"13",1,0,1,13,1,1,2,1
"14",1,0,1,14,1,0,2,1
"15",1,0,1,15,1,0,2,1
"16",1,0,1,16,0,1,1,1
"17",1,0,1,17,0,1,2,1
"18",1,0,1,18,0,0,2,1
"19",1,0,1,19,1,0,2,1
"20",1,0,1,20,1,0,2,1
"21",1,0,1,21,0,1,1,1
"22",1,0,1,22,0,1,2,1
"23",1,0,1,23,1,1,2,1
"24",1,0,1,24,0,1,2,1
"25",1,0,1,25,1,1,2,1
"26",1,0,1,26,0,1,2,1
"27",1,0,1,27,1,0,2,1
"28",1,0,1,28,0,1,2,1
"29",1,0,1,29,1,1,2,1
"30",1,0,1,30,1,1,2,1
"31",1,0,1,31,1,1,2,1
"32",1,0,1,32,0,1,2,1
"33",1,0,1,33,1,1,2,1
"34",1,0,1,34,1,1,2,1
"35",1,0,1,35,1,1,2,1
"36",1,0,1,36,0,1,2,1
"37",1,0,1,37,1,1,2,1
"38",1,0,1,38,0,1,2,1
"39",1,0,1,39,0,0,2,1
"40",1,0,1,40,0,0,2,1
"41",1,0,1,41,0,1,2,1
"42",1,0,1,42,1,1,2,1
"43",1,0,1,43,1,0,2,1
"44",1,0,1,44,0,1,2,1
"45",1,0,1,45,0,0,2,1
"46",1,0,1,46,0,1,2,1
"47",1,0,1,47,0,1,2,1
"48",1,0,1,48,0,0,2,1
"49",1,0,1,49,0,0,2,1
"50",1,0,1,50,0,1,2,1
"51",1,0,2,1,1,1,1,2
"52",1,0,2,2,0,0,1,2
"53",1,0,2,3,0,0,1,2
"54",1,0,2,4,0,0,2,2
"55",1,0,2,5,1,0,2,2
"56",1,0,2,6,0,0,1,2
"57",1,0,2,7,1,1,2,2
"58",1,0,2,8,0,0,1,2
"59",1,0,2,9,0,1,1,2
"60",1,0,2,10,0,0,2,2
"61",1,0,2,11,1,1,2,2
"62",1,0,2,12,0,1,2,2
"63",1,0,2,13,1,1,2,2
"64",1,0,2,14,1,0,2,2
