Include/exclude,Reason,,,,,ORN,VN,DB,TI,OT,SO,AU,PB,PT,FTURL,XL,,Include/exclude,Reason,Include/exclude,Reason
DUPLICATION PUBMED,,,,,,1,Ovid Technologies,Embase,Computational psychiatry: Data-driven vs. mechanistic approaches. [German],Computationale Psychiatrie: Datengetriebene vs. mechanistische Ansatze.,"Nervenarzt. 90 (11) (pp 1117-1124), 2019. Date of Publication: 01 Nov 2019.","Kaminski J.

Katthagen T.

Schlagenhauf F.",Springer Verlag (E-mail: service@springer.de),Review,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,2,Ovid Technologies,Embase,Withdrawal from escalated cocaine self-administration impairs reversal learning by disrupting the effects of negative feedback on reward exploitation: a behavioral and computational analysis.,,"Neuropsychopharmacology. 44 (13) (pp 2163-2173), 2019. Date of Publication: 01 Dec 2019.","Zhukovsky P.

Puaud M.

Jupp B.

Sala-Bayo J.

Alsio J.

Xia J.

Searle L.

Morris Z.

Sabir A.

Giuliano C.

Everitt B.J.

Belin D.

Robbins T.W.

Dalley J.W.","Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,3,Ovid Technologies,Embase,Regulation of adenylyl cyclase 5 in striatal neurons confers the ability to detect coincident neuromodulatory signals.,,"PLoS computational biology. 15 (10) (pp e1007382), 2019. Date of Publication: 01 Oct 2019.","Bruce N.J.

Narzi D.

Trpevski D.

van Keulen S.C.

Nair A.G.

Rothlisberger U.

Wade R.C.

Carloni P.

Hellgren Kotaleski J.",NLM (Medline),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,4,Ovid Technologies,Embase,Maladaptive striatal plasticity and abnormal reward-learning in cervical dystonia.,,"European Journal of Neuroscience. 50 (7) (pp 3191-3204), 2019. Date of Publication: 01 Oct 2019.","Gilbertson T.

Humphries M.

Steele J.D.",Blackwell Publishing Ltd,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,5,Ovid Technologies,Embase,Models that learn how humans learn: The case of decision-making and its disorders.,,"PLoS Computational Biology. 15 (6) (no pagination), 2019. Article Number: e1006903. Date of Publication: 2019.","Dezfouli A.

Griffiths K.

Ramos F.

Dayan P.

Balleine B.W.",Public Library of Science (E-mail: plos@plos.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,6,Ovid Technologies,Embase,"Driven by Pain, Not Gain: Computational Approaches to Aversion-Related Decision Making in Psychiatry.",,"Biological Psychiatry. (no pagination), 2019. Date of Publication: 2019.",Paulus M.P.,Elsevier USA,Review,Click here for full text options,SFX,,,,,
0,In rodents,,,,,7,Ovid Technologies,Embase,Neurochemical and behavioral dissections of decision-making in a rodent multistage task.,,"Journal of Neuroscience. 39 (2) (pp 295-306), 2019. Date of Publication: 09 Jan 2019.","Groman S.M.

Massi B.

Mathias S.R.

Curry D.W.

Lee D.

Taylor J.R.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,8,Ovid Technologies,Embase,Reward learning over weeks versus minutes increases the neural representation of value in the human brain.,,"Journal of Neuroscience. 38 (35) (pp 7649-7666), 2018. Date of Publication: 29 Aug 2018.","Wimmer G.E.

Li J.K.

Gorgolewski K.J.

Poldrack R.A.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,9,Ovid Technologies,Embase,The avian basal ganglia are a source of rapid behavioral variation that enables vocal motor exploration.,,"Journal of Neuroscience. 38 (45) (pp 9635-9647), 2018. Date of Publication: 07 Nov 2018.","Kojima S.

Kao M.H.

Doupe A.J.

Brainard M.S.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,10,Ovid Technologies,Embase,Dissecting the Impact of Depression on Decision-Making During a Probabilistic Reward Task.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S183), 2019. Date of Publication: 15 May 2019.","Lawlor V.

Webb C.

Wiecki T.

Frank M.

Trivedi M.

Pizzagalli D.

Dillon D.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,11,Ovid Technologies,Embase,Ventromedial Prefrontal Functional Connectivity During Value-Based Decision Making in Impulsive vs. Non-Impulsive Older Suicide Attempters.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S242-S243), 2019. Date of Publication: 15 May 2019.","Brown V.

Wilson J.

Szanto K.

Dombrovski A.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,12,Ovid Technologies,Embase,A Model of Attention Learning and its Implications for Anxious Disorders.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S68-S69), 2019. Date of Publication: 15 May 2019.","Jones M.

Paskewitz S.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,13,Ovid Technologies,Embase,PTSD as a Threat Mood: Insights From a Reinforcement Learning Model.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S302), 2019. Date of Publication: 15 May 2019.","Kaye A.

Ressler K.

Krystal J.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,14,Ovid Technologies,Embase,A Computational Model to Measure Mechanisms of Interpretation Bias Training for Treating Disruptive Mood Dysregulation Disorder.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S69), 2019. Date of Publication: 15 May 2019.","Haller S.

Jones M.

Pine D.

Leibenluft E.

Brotman M.A.

Stoddard J.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,15,Ovid Technologies,Embase,A Combined Reinforcement-Learning Drift-Diffusion Model to Understand Choice Behaviour in Remitted Depression and Relapse After Antidepressant Discontinuation.,,"Biological Psychiatry. Conference: 74th Annual Scientific Convention and Meeting. United States. 85 (10 Supplement) (pp S266), 2019. Date of Publication: 15 May 2019.","Berwian I.M.

Schneebeli M.

Renz D.L.

Collins A.G.E.

Seifritz E.

Stephan K.E.

Huys Q.J.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,16,Ovid Technologies,Embase,Revisiting a theory of cerebellar cortex.,,"Neuroscience Research. 148 (pp 1-8), 2019. Date of Publication: November 2019.","Yamazaki T.

Lennon W.",Elsevier Ireland Ltd,Review,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,17,Ovid Technologies,Embase,Decodability of Reward Learning Signals Predicts Mood Fluctuations.,,"Current biology : CB. 28 (9) (pp 1433-1439), 2018. Date of Publication: 07 May 2018.","Eldar E.

Roth C.

Dayan P.

Dolan R.J.",NLM (Medline),Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,18,Ovid Technologies,Embase,"Neuromodulation of Spike-Timing-Dependent Plasticity: Past, Present, and Future.",,"Neuron. 103 (4) (pp 563-581), 2019. Date of Publication: 21 August 2019.","Brzosko Z.

Mierau S.B.

Paulsen O.",Cell Press (E-mail: subs@cell.com),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,19,Ovid Technologies,Embase,Sensitivity to negative and positive feedback as a stable and enduring behavioural trait in rats.,,"Psychopharmacology. 236 (8) (pp 2389-2403), 2019. Date of Publication: 01 Aug 2019.","Noworyta-Sokolowska K.

Kozub A.

Jablonska J.

Rodriguez Parkitna J.

Drozd R.

Rygula R.",Springer Verlag (E-mail: service@springer.de),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,20,Ovid Technologies,Embase,Credit assignment to state-independent task representations and its relationship with model-based decision making.,,"Proceedings of the National Academy of Sciences of the United States of America. 116 (32) (pp 15871-15876), 2019. Date of Publication: 06 Aug 2019.","Shahar N.

Moran R.

Hauser T.U.

Kievit R.A.

McNamee D.

Moutoussis M.

Nspn C.

Dolan R.J.",National Academy of Sciences,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,21,Ovid Technologies,Embase,Reward and avoidance learning in the context of aversive environments and possible implications for depressive symptoms.,,"Psychopharmacology. 236 (8) (pp 2437-2449), 2019. Date of Publication: 01 Aug 2019.","Sebold M.

Garbusow M.

Jetzschmann P.

Schad D.J.

Nebe S.

Schlagenhauf F.

Heinz A.

Rapp M.

Romanczuk-Seiferth N.",Springer Verlag (E-mail: service@springer.de),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,22,Ovid Technologies,Embase,Computational psychopharmacology: a translational and pragmatic approach.,,"Psychopharmacology. 236 (8) (pp 2295-2305), 2019. Date of Publication: 01 Aug 2019.","Robbins T.W.

Cardinal R.N.",Springer Verlag (E-mail: service@springer.de),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,23,Ovid Technologies,Embase,Modeling subjective belief states in computational psychiatry: interoceptive inference as a candidate framework.,,"Psychopharmacology. 236 (8) (pp 2405-2412), 2019. Date of Publication: 01 Aug 2019.","Gu X.

FitzGerald T.H.B.

Friston K.J.",Springer Verlag (E-mail: service@springer.de),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,24,Ovid Technologies,Embase,Impaired reward-related learning signals in remitted unmedicated patients with recurrent depression.,,"Brain : a journal of neurology. 142 (8) (pp 2510-2522), 2019. Date of Publication: 01 Aug 2019.","Geugies H.

Mocking R.J.T.

Figueroa C.A.

Groot P.F.C.

Marsman J.-B.C.

Servaas M.N.

Steele J.D.

Schene A.H.

Ruhe H.G.",NLM (Medline),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,25,Ovid Technologies,Embase,The Effects of the Angiotensin II Receptor Antagonist Losartan on Appetitive Versus Aversive Learning: A Randomized Controlled Trial.,,"Biological Psychiatry. 86 (5) (pp 397-404), 2019. Date of Publication: 1 September 2019.","Pulcu E.

Shkreli L.

Holst C.G.

Woud M.L.

Craske M.G.

Browning M.

Reinecke A.",Elsevier USA,Article,Click here for full text options,SFX,,,,,
0,No clinical group,,,,,26,Ovid Technologies,Embase,Sequential exploration in the iowa gambling task: Validation of a new computational model in a large dataset of young and old healthy participants.,,"PLoS Computational Biology. 15 (6) (no pagination), 2019. Article Number: e1006989. Date of Publication: June 2019.",Ligneul R.,Public Library of Science (E-mail: plos@plos.org),Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,27,Ovid Technologies,Embase,SA97COMPUTATIONAL PSYCHIATRY MEETS GENETICS: REINFORCEMENT LEARNING IN EARLY PSYCHOSIS AND IN RELATION TO CLINICAL AND MOLECULAR GENETIC RISK FOR SCHIZOPHRENIA.,,"European Neuropsychopharmacology. Conference: 26th World Congress of Psychiatric Genetics (WCPG): Symposia. United Kingdom. 29 (Supplement 4) (pp S1241-S1242), 2019. Date of Publication: 2019.","Murray G.

Montagnese M.

Knolle F.

Griffin J.

Haarsma J.

Richards A.

Vertes P.

Kiddle B.

Owen M.

Jones P.

Fonagy P.

Moutoussis M.

Bullmore E.

Dolan R.

Goodyer I.",Elsevier B.V.,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION 7 (above),,,,,,28,Ovid Technologies,Embase,Models that learn how humans learn: The case of decision-making and its disorders.,,"PLoS Computational Biology. 15 (6) (no pagination), 2019. Article Number: e1006903. Date of Publication: June 2019.","Dezfouli A.

Griffiths K.

Ramos F.

Dayan P.

Balleine B.W.",Public Library of Science (E-mail: plos@plos.org),Article,Click here for full text options,SFX,,,,,
0,In ADHD,,,,,29,Ovid Technologies,Embase,A neurocomputational account of reward and novelty processing and effects of psychostimulants in attention deficit hyperactivity disorder.,,"Brain. 141 (5) (pp 1545-1557), 2018. Date of Publication: 01 May 2018.","Sethi A.

Voon V.

Critchley H.D.

Cercignani M.

Harrison N.A.",Oxford University Press,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,30,Ovid Technologies,Embase,"Anxiety, depression, and decision making: A computational perspective.",,"Annual Review of Neuroscience. 41 (pp 371-388), 2018. Date of Publication: 08 Jul 2018.","Bishop S.J.

Gagne C.","Annual Reviews Inc. (4139 El Camino Way, P.O. Box 10139, Palo Alto CA 94306, United States)",Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,31,Ovid Technologies,Embase,A dual role hypothesis of the cortico-basal-Ganglia pathways: Opponency and temporal difference through dopamine and adenosine.,,"Frontiers in Neural Circuits. 12 (no pagination), 2019. Article Number: 111. Date of Publication: 07 Jan 2019.","Morita K.

Kawaguchi Y.",Frontiers Media S.A. (E-mail: info@frontiersin.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,32,Ovid Technologies,Embase,Difficulty in updating positive beliefs about negative cognition is associated with increased depressed mood.,,"Journal of Behavior Therapy and Experimental Psychiatry. 64 (pp 22-30), 2019. Date of Publication: September 2019.","Takano K.

Van Grieken J.

Raes F.",Elsevier Ltd,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,33,Ovid Technologies,Embase,Value generalization in human avoidance learning.,,"eLife. 7 (no pagination), 2018. Article Number: e34779. Date of Publication: 08 May 2018.","Norbury A.

Robbins T.W.

Seymour B.",eLife Sciences Publications Ltd (E-mail: staff@elifesciences.org),Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,34,Ovid Technologies,Embase,Neural systems underlying reinforcement learning.,,"ASN Neuro. Conference: 33rd Congress of the Argentine Society for Research in Neuroscience. Argentina. 11 (pp 5), 2019. Date of Publication: January - December 2019.",Anonymous,SAGE Publications Inc.,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,35,Ovid Technologies,Embase,State representation in mental illness.,,"Current Opinion in Neurobiology. 55 (pp 160-166), 2019. Date of Publication: April 2019.","Radulescu A.

Niv Y.",Elsevier Ltd,Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,36,Ovid Technologies,Embase,"Value-Based Choice, Contingency Learning, and Suicidal Behavior in Mid- and Late-Life Depression.",,"Biological Psychiatry. 85 (6) (pp 506-516), 2019. Date of Publication: 15 March 2019.","Dombrovski A.Y.

Hallquist M.N.

Brown V.M.

Wilson J.

Szanto K.",Elsevier USA,Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,37,Ovid Technologies,Embase,Impaired generalization of reward but not loss in obsessive-compulsive disorder.,,"Depression and Anxiety. 36 (2) (pp 121-129), 2019. Date of Publication: Februaryy 2019.","Rouhani N.

Wimmer G.E.

Schneier F.R.

Fyer A.J.

Shohamy D.

Simpson H.B.",Blackwell Publishing Inc. (E-mail: subscrip@blackwellpub.com),Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,38,Ovid Technologies,Embase,Belief updating in bipolar disorder.,,"Bipolar Disorders. Conference: 21st Annual International Society for Bipolar Disorders Conference: Global Advances in Bipolar Disorder and Depression, ISBD 2019. Australia. 21 (Supplement 1) (pp 76), 2019. Date of Publication: March 2019.","Ossola P.

Garrett N.

Sharot T.

Marchesi C.",Blackwell Publishing Inc.,Conference Abstract,Click here for full text options,SFX,,,,,
