ORN,VN,DB,TI,SO,AU,PB,PT,FTURL,XL,OT
1,Ovid Technologies,Embase,Momentary subjective well-being depends on learning and not reward.,"eLife. 9 (no pagination), 2020. Date of Publication: 17 Nov 2020.","Blain B.

Rutledge R.B.",NLM (Medline),Article,Click here for full text options,SFX,
2,Ovid Technologies,Embase,Multiple Facets of Value-Based Decision Making in Major Depressive Disorder.,"Scientific reports. 10 (1) (pp 3415), 2020. Date of Publication: 25 Feb 2020.","Mukherjee D.

Lee S.

Kazinka R.

D Satterthwaite T.

Kable J.W.",NLM (Medline),Article,Click here for full text options,SFX,
3,Ovid Technologies,Embase,Reduced model-based decision-making in gambling disorder.,"Scientific reports. 9 (1) (pp 19625), 2019. Date of Publication: 23 Dec 2019.","Wyckmans F.

Otto A.R.

Sebold M.

Daw N.

Bechara A.

Saeremans M.

Kornreich C.

Chatard A.

Jaafari N.

Noel X.",NLM (Medline),Article,Click here for full text options,SFX,
4,Ovid Technologies,Embase,Lithium modulates striatal reward anticipation and prediction error coding in healthy volunteers.,"Neuropsychopharmacology. (no pagination), 2020. Date of Publication: 2020.","Volman I.

Pringle A.

Verhagen L.

Browning M.

Cowen P.J.

Harmer C.J.",Springer Nature,Article,Click here for full text options,SFX,
5,Ovid Technologies,Embase,A Transdiagnostic Association Between Hypomania and Mood-Learning Interaction.,"Biological Psychiatry. Conference: 75th Annual Scientific Convention and Meeting. United States. 87 (9 Supplement) (pp S137), 2020. Date of Publication: 1 May 2020.","Bennett D.

Erickson M.

Silverstein S.

Niv Y.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,
6,Ovid Technologies,Embase,Reward and Punishment Reversal-Learning in Major Depressive Disorder.,"Journal of Abnormal Psychology. (no pagination), 2020. Date of Publication: 2020.","Mukherjee D.

Filipowicz A.L.S.

Vo K.

Satterthwaite T.D.

Kable J.W.","American Psychological Association (750 First Street, NE, Washington DC 20002-4242, United States. E-mail: journals@apa.org)",Article,Click here for full text options,SFX,
7,Ovid Technologies,Embase,Neurocomputational Substrates of Exploration and Exploitation in Suicidal Behavior.,"Biological Psychiatry. Conference: 75th Annual Scientific Convention and Meeting. United States. 87 (9 Supplement) (pp S24), 2020. Date of Publication: 1 May 2020.","Dombrovski A.

Hallquist M.

Szanto K.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,
8,Ovid Technologies,Embase,Inducing Affective Learning Biases with Cognitive Training and Prefrontal tDCS: A Proof-of-Concept Study.,"Cognitive Therapy and Research. (no pagination), 2020. Date of Publication: 2020.","Overman M.J.

Browning M.

O'Shea J.",Springer,Article,Click here for full text options,SFX,
9,Ovid Technologies,Embase,Classification techniques on computerized systems to predict and/or to detect Apnea: A systematic review.,"Computer Methods and Programs in Biomedicine. 140 (pp 265-274), 2017. Date of Publication: 01 Mar 2017.","Pombo N.

Garcia N.

Bousson K.",Elsevier Ireland Ltd,Review,Click here for full text options,SFX,
10,Ovid Technologies,Embase,Altered learning under uncertainty in unmedicated mood and anxiety disorders.,"Nature human behaviour. 3 (10) (pp 1116-1123), 2019. Date of Publication: 01 Oct 2019.","Aylward J.

Valton V.

Ahn W.-Y.

Bond R.L.

Dayan P.

Roiser J.P.

Robinson O.J.",NLM (Medline),Article,Click here for full text options,SFX,
11,Ovid Technologies,Embase,Blunted medial prefrontal cortico-limbic reward-related effective connectivity and depression.,"Brain. 143 (6) (pp 1946-1956), 2020. Date of Publication: 01 Jun 2020.","Rupprechter S.

Romaniuk L.

Series P.

Hirose Y.

Hawkins E.

Sandu A.-L.

Waiter G.D.

McNeil C.J.

Shen X.

Harris M.A.

Campbell A.

Porteous D.

MacFarlane J.A.

Lawrie S.M.

Murray A.D.

Delgado M.R.

McIntosh A.M.

Whalley H.C.

Steele J.D.",Oxford University Press,Article,Click here for full text options,SFX,
12,Ovid Technologies,Embase,"Effects of depressive symptoms, feelings, and interoception on reward-based decision-making: Investigation using reinforcement learning model.","Brain Sciences. 10 (8) (pp 1-15), 2020. Article Number: 508. Date of Publication: August 2020.","Ogishima H.

Maeda S.

Tanaka Y.

Shimada H.","MDPI AG (Postfach, Basel CH-4005, Switzerland. E-mail: rasetti@mdpi.com)",Article,Click here for full text options,SFX,
