Include.exclude,Full text screened,Reason,Publication.Type,Authors_wos,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,Article.Title,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,Abstract,Addresses,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year_wos,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Research.Areas,IDS.Number,UT..Unique.WOS.ID.,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,X,PMID,Authors_pubmed,Citation,First.Author,Journal.Book,Publication.Year_pubmed,Create.Date,PMCID,NIHMS.ID,ORN,VN,DB,SO,AU,PB,PT,FTURL,XL,OT,Authors,Year,Source,Publishergscholar,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOIgscholar
0,0,About disabled physiotherapy students,J,"Norris, M; Hammond, J; Williams, A; Walker, S",NA,,,"Norris, M.; Hammond, J.; Williams, A.; Walker, S.",NA,NA,Students with specific learning disabilities experiences of pre-registration physiotherapy education: a qualitative study,BMC MEDICAL EDUCATION,,NA,NA,NA,,,,,,NA,NA,"Background Attainment gaps for students with disabilities have been noted in pre-registration physiotherapy courses in the UK. Previous research suggests disclosure, lack of staff knowledge and poor communication between University and placement sites may be relevant, but these are limited to small case studies with students with visual or physical disabilities. The purpose of this study was to explore disabled physiotherapy students' experiences of their education in order to elucidate factors that may influence success. Methods Qualitative study drawing on phenomenological traditions. Four focus groups including 15 students with disabilities were conducted. Transcripts were analysed thematically. Procedures for transparency and rigour such as member checking and peer debriefing were implemented. Results Three major themes were derived from data. It was quite a relief explores the personal and social implications of diagnosis. They're not natural focuses on academic assessment and the specifics of adjustments made and not made within that context. My dyslexia doesn't switch off explores the inaccessibility of the learning environment and dissects the contrast between the 24-h nature of having a specific learning condition and the somewhat piecemeal nature of adjustments during their education. Conclusions This study indicates that having a specific learning disability or anxiety creates a number of hurdles to success in physiotherapy education. Most were within the University setting and were perceived to result from staff ignorance or piecemeal approaches to inclusion. A lack of consistency alongside facilitated dialogue and acknowledgement of enhancements results in frustration, ambiguity towards disclosure and reinforcement of a deficit model. Such an approach belies the intention of the profession and the NHS and does not maximise the potential of widening participation.",NA,NA,NA,,"Norris, Meriel/0000-0001-7779-5612; Williams, Annabel/0000-0002-3192-5490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1472-6920,,NA,NA,Dec-31,2020,20,1,NA,,,,,,2,10.1186/s12909-019-1913-3,,,NA,NA,NA,NA,WOS:000505043800002,31892332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,,J,"Mukherjee, D; Filipowicz, ALS; Vo, K; Satterthwaite, TD; Kable, JW",NA,,,"Mukherjee, Dahlia; Filipowicz, Alexandre L. S.; Vo, Khoi; Satterthwaite, Theodore D.; Kable, Joseph W.",NA,NA,Reward and Punishment Reversal-Learning in Major Depressive Disorder,JOURNAL OF ABNORMAL PSYCHOLOGY,,NA,NA,NA,,,,,,NA,NA,"Depression has been associated with impaired reward and punishment processing, but the specific nature of these deficits is still widely debated. We analyzed reinforcement-based decision making in individuals with major depressive disorder (MDD) to identify the specific decision mechanisms contributing to poorer performance. Individuals with MDD (n = 64) and matched healthy controls (n = 64) performed a probabilistic reversal-learning task in which they used feedback to identify which of two stimuli had the highest probability of reward (reward condition) or lowest probability of punishment (punishment condition). Learning differences were characterized using a hierarchical Bayesian reinforcement learning model. Depressed individuals made fewer optimal choices and adjusted more slowly to reversals in both the reward and punishment conditions. Computational modeling revealed that depressed individuals showed lower learning-rates and, to a lesser extent, lower value sensitivity in both the reward and punishment conditions. Learning-rates also predicted depression more accurately than simple performance metrics. These results demonstrate that depression is characterized by a hyposensitivity to positive outcomes, but not a hypersensitivity to negative outcomes. Additionally, we demonstrate that computational modeling provides a more precise characterization of the dynamics contributing to these learning deficits, offering stronger insights into the mechanistic processes affected by depression.",NA,NA,NA,"; Satterthwaite, Theodore/N-4804-2017","Filipowicz, Alexandre/0000-0002-1311-386X; Satterthwaite, Theodore/0000-0001-7072-9399; MUKHERJEE, DAHLIA/0000-0003-1007-2094; Vo, Khoi/0000-0002-6000-2628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0021-843X,1939-1846,,NA,NA,NOV,2020,129,8,NA,,,,810,823,,10.1037/abn0000641,,,NA,NA,NA,NA,WOS:000585873700004,33001663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,No clinical group,J,"Volman, I; Pringle, A; Verhagen, L; Browning, M; Cowen, PJ; Harmer, CJ",NA,,,"Volman, Inge; Pringle, Abbie; Verhagen, Lennart; Browning, Michael; Cowen, Phil J.; Harmer, Catherine J.",NA,NA,Lithium modulates striatal reward anticipation and prediction error coding in healthy volunteers,NEUROPSYCHOPHARMACOLOGY,,NA,NA,NA,,,,,,NA,NA,"Lithium is one of the most effective mood-stabilizing medications in bipolar disorder. This study was designed to test whether lithium administration may stabilize mood via effects on reward processing. It was hypothesized that lithium administration would modulate reward processing in the striatum and affect both anticipation and outcome computations. Thirty-seven healthy human participants (18 males, 33 with suitable fMRI data) received 11 (+/- 1) days of lithium carbonate or placebo intervention (double-blind), after which they completed the monetary incentive delay task while fMRI data were collected. The monetary incentive delay task is a robust task with excellent test-retest reliability and is well suited to investigate different phases of reward processing within the caudate and nucleus accumbens. To test for correlations with prediction error signals a Rescorla-Wagner reinforcement-learning model was applied. Lithium administration enhanced activity in the caudate during reward anticipation compared to placebo. In contrast, lithium administration reduced caudate and nucleus accumbens activity during reward outcome. This latter effect seems related to learning as reward prediction errors showed a positive correlation with caudate and nucleus accumbens activity during placebo, which was absent after lithium administration. Lithium differentially modulates the anticipation relative to the learning of rewards. This suggests that lithium might reverse dampened reward anticipation while reducing overactive reward updating in patients with bipolar disorder. This specific effect of lithium suggests that a targeted modulation of reward learning may be a viable approach for novel interventions in bipolar disorder.",NA,NA,NA,,"Volman, Inge/0000-0003-3467-1841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0893-133X,1740-634X,,NA,NA,,NA,NA,,NA,,,,,,,10.1038/s41386-020-00895-2,,Oct-20,NA,NA,NA,NA,WOS:000582992200001,33127993,NA,NA,NA,NA,NA,33127993,"Volman I, Pringle A, Verhagen L, Browning M, Cowen PJ, Harmer CJ.",Neuropsychopharmacology. 2020 Oct 30. doi: 10.1038/s41386-020-00895-2. Online ahead of print.,Volman I,Neuropsychopharmacology,2020,31/10/2020,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,No clinical group,J,"Overman, MJ; Browning, M; O'Shea, J",NA,,,"Overman, Margot Juliette; Browning, Michael; O'Shea, Jacinta",NA,NA,Inducing Affective Learning Biases with Cognitive Training and Prefrontal tDCS: A Proof-of-Concept Study,COGNITIVE THERAPY AND RESEARCH,,NA,NA,NA,,,,,,NA,NA,"Background Cognitive models of mood disorders emphasize a causal role of negative affective biases in depression. Computational work suggests that these biases may stem from a belief that negative events have a higher information content than positive events, resulting in preferential processing of and learning from negative outcomes. Learning biases therefore represent a promising target for therapeutic interventions. In this proof-of-concept study in healthy volunteers, we assessed the malleability of biased reinforcement learning using a novel cognitive training paradigm and concurrent transcranial direct current stimulation (tDCS). Methods In two studies, young healthy adults completed two sessions of negative (n = 20) or positive (n = 20) training designed to selectively increase learning from loss or win outcomes, respectively. During training active or sham tDCS was applied bilaterally to dorsolateral prefrontal cortex. Analyses tested for changes both in learning rates and win- and loss-driven behaviour. Potential positive/negative emotional transfer of win/loss learning was assessed by a facial emotion recognition task and mood questionnaires. Results Negative and positive training increased learning rates for losses and wins, respectively. With negative training, there was also a trend for win (but not loss) learning rates to decrease over successive task blocks. After negative training, there was evidence for near transfer in the form of an increase in loss-driven choices when participants performed a similar (untrained) task. There was no change in far transfer measures of emotional face processing or mood. tDCS had no effect on any aspect of behaviour. Discussion and Conclusions Negative training induced a mild negative bias in healthy adults as reflected in loss-driven choice behaviour. Prefrontal tDCS had no effect. Further research is needed to assess if this training procedure can be adapted to enhance learning from positive outcomes and whether effects translate to affective disorders.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0147-5916,1573-2819,,NA,NA,,NA,NA,,NA,,,,,,,10.1007/s10608-020-10146-9,,Oct-20,NA,NA,NA,NA,WOS:000575339800001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,No reinforcement learning,J,"Xu, XL; Dai, J; Chen, YS; Liu, CC; Xin, F; Zhou, XQ; Zhou, F; Stamatakis, EA; Yao, SX; Luo, LZ; Huang, YL; Wang, JY; Zou, ZL; Vatansever, D; Kendrick, KM; Zhou, B; Becker, B",NA,,,"Xu, Xiaolei; Dai, Jing; Chen, Yuanshu; Liu, Congcong; Xin, Fei; Zhou, Xinqi; Zhou, Feng; Stamatakis, Emmanuel A.; Yao, Shuxia; Luo, Lizhu; Huang, Yulan; Wang, Jinyu; Zou, Zhili; Vatansever, Deniz; Kendrick, Keith M.; Zhou, Bo; Becker, Benjamin",NA,NA,Intrinsic connectivity of the prefrontal cortex and striato-limbic system respectively differentiate major depressive from generalized anxiety disorder,NEUROPSYCHOPHARMACOLOGY,,NA,NA,NA,,,,,,NA,NA,"Major depressive disorder (MDD) and generalized anxiety disorder (GAD) are highly prevalent and debilitating disorders. The high overlap on the symptomatic and neurobiological level led to ongoing debates about their diagnostic and neurobiological uniqueness. The present study aims to identify common and disorder-specific neuropathological mechanisms and treatment targets in MDD and GAD. To this end we combined categorical and dimensional disorder models with a fully data-driven intrinsic network-level analysis (intrinsic connectivity contrast, ICC) to resting-state fMRI data acquired in 108 individuals (n = 35 andn = 38 unmedicated patients with first-episode GAD, MDD, respectively, andn = 35 healthy controls). Convergent evidence from categorical and dimensional analyses revealed MDD-specific decreased whole-brain connectivity profiles of the medial prefrontal and dorsolateral prefrontal cortex while GAD was specifically characterized by decreased whole-brain connectivity profiles of the putamen and decreased communication of this region with the amygdala. Together, findings from the present data-driven analysis suggest that intrinsic communication of frontal regions engaged in executive functions and emotion regulation represent depression-specific neurofunctional markers and treatment targets whereas dysregulated intrinsic communication of the striato-amygdala system engaged in reinforcement-based and emotional learning processes represent GAD-specific markers.",NA,NA,NA,"Zhou, Xinqi/R-3616-2019","Zhou, Xinqi/0000-0002-5032-9141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0893-133X,1740-634X,,NA,NA,,NA,NA,,NA,,,,,,,10.1038/s41386-020-00868-5,,Sep-20,NA,NA,NA,NA,WOS:000575748200001,32961541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In rats,J,"Kastner, DB; Gillespie, AK; Dayan, P; Frank, LM",NA,,,"Kastner, David B.; Gillespie, Anna K.; Dayan, Peter; Frank, Loren M.",NA,NA,Memory Alone Does Not Account for the Way Rats Learn a Simple Spatial Alternation Task,JOURNAL OF NEUROSCIENCE,,NA,NA,NA,,,,,,NA,NA,"Animal behavior provides context for understanding disease models and physiology. However, that behavior is often characterized subjectively, creating opportunity for misinterpretation and misunderstanding. For example, spatial alternation tasks are treated as paradigmatic tools for examining memory; however, that link is actually an assumption. To test this assumption, we simulated a reinforcement learning (RL) agent equipped with a perfect memory process. We found that it learns a simple spatial alternation task more slowly and makes different errors than a group of male rats, illustrating that memory alone may not be sufficient to capture the behavior. We demonstrate that incorporating spatial biases permits rapid learning and enables the model to fit rodent behavior accurately. Our results suggest that even simple spatial alternation behaviors reflect multiple cognitive processes that need to be taken into account when studying animal behavior.",NA,NA,NA,,"Frank, Loren/0000-0002-1752-5677; Kastner, David/0000-0001-9681-425X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0270-6474,1529-2401,,NA,NA,Sep-16,2020,40,38,NA,,,,7311,7317,,10.1523/JNEUROSCI.0972-20.2020,,,NA,NA,NA,NA,WOS:000573426200009,32753514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Treatment protocol for mindfulness intervention,J,"Brewer, JA; Roy, A; Deluty, A; Liu, T; Hoge, EA",NA,,,"Brewer, Judson A.; Roy, Alexandra; Deluty, Alana; Liu, Tao; Hoge, Elizabeth A.",NA,NA,Can Mindfulness Mechanistically Target Worry to Improve Sleep Disturbances? Theory and Study Protocol for App-Based Anxiety Program,HEALTH PSYCHOLOGY,,NA,NA,NA,,,,,,NA,NA,"Objective: Anxiety is associated with sleep disturbance and insomnia. Mindfulness-based interventions, such as mindfulness-based stress reduction, have shown consistent anxiety reduction. Mindfulness training has been theorized to affect reinforcement learning, affecting habitual behaviors such as smoking and overeating, but a direct mechanistic link between the use of mindfulness training for anxiety reduction and improvement in sleep has not been studied. Moreover, the mechanisms by which mindfulness might affect worry and subsequent sleep disturbances have not been elucidated. This study protocol evaluates the impact an app-based mindfulness training program for anxiety might have on decreasing worry and improvement in sleep. Method: A randomized controlled study will be conducted in approximately 80 adults with worry that interferes with their sleep. Participants will be randomly allocated (1:1) to two groups: treatment-as-usual (TAU) or TAU + App-Based Mindfulness Training (Unwinding Anxiety app). The primary outcomes will be the non-reactivity subscale of the Five Facet Mindfulness Questionnaire and Patient-Reported Outcomes Measurement Information System sleep quality measures (Baer et al., 2008; Yu et al., 2011). Secondary outcomes will include the Penn State Worry Questionnaire. Generalized Anxiety Disorder-7, and Multidimensional Assessment of Interoceptive Awareness Scale (Mehling et al., 2012; Meyer. Miller. Metzger, & Borkovec. 1990; Spitzer. Kroenke, Williams. & Lowe, 2006). Discussion: This study will be the first to test the mechanism of app-based mindfulness training on worry and sleep disturbance. Testing the mechanistic effects of mindfulness training using the science of behavior change framework will help move the field forward both in further elucidation of potential mechanisms of mindfulness (e.g., targeting reinforcement learning) and determining whether such a platform might be a viable method for delivering high-fidelity treatment at scale and for a low cost.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0278-6133,1930-7810,,NA,NA,SEP,2020,39,9,NA,,SI,,776,784,,10.1037/hea0000874,,,NA,NA,NA,NA,WOS:000563083500006,32833479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In rats,J,"Spiegler, KM; Palmieri, J; Pang, KCH; Myers, CE",NA,,,"Spiegler, Kevin M.; Palmieri, John; Pang, Kevin C. H.; Myers, Catherine E.",NA,NA,A reinforcement-learning model of active avoidance behavior: Differences between Sprague Dawley and Wistar-Kyoto rats,BEHAVIOURAL BRAIN RESEARCH,,NA,NA,NA,,,,,,NA,NA,"Avoidance behavior is a typically adaptive response performed by an organism to avert harmful situations. Individuals differ remarkably in their tendency to acquire and perform new avoidance behaviors, as seen in anxiety disorders where avoidance becomes pervasive and inappropriate. In rodent models of avoidance, the inbred Wistar-Kyoto (WKY) rat demonstrates increased learning and expression of avoidance compared to the outbred Sprague Dawley (SD) rat. However, underlying mechanisms that contribute to these differences are unclear. Computational modeling techniques can help identify factors that may not be easily decipherable from behavioral data alone. Here, we utilize a reinforcement learning (RL) model approach to better understand strain differences in avoidance behavior. An actor-critic model, with separate learning rates for action selection (in the actor) and state evaluation (in the critic), was applied to individual data of avoidance acquisition from a large cohort of WKY and SD rats. Latent parameters were extracted, such as learning rate and subjective reinforcement value of foot shock, that were then compared across groups. The RL model was able to accurately represent WKY and SD avoidance behavior, demonstrating that the model could simulate individual performance. The model determined that the perceived negative value of foot shock was significantly higher in WKY than SD rats, whereas learning rate in the actor was lower in WKY than SD rats. These findings demonstrate the utility of computational modeling in identifying underlying processes that could promote strain differences in behavioral performance.",NA,NA,NA,,"Palmieri, John/0000-0001-8603-7848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0166-4328,1872-7549,,NA,NA,Sep-01,2020,393,,NA,,,,,,112784,10.1016/j.bbr.2020.112784,,,NA,NA,NA,NA,WOS:000557870200034,32585299,NA,NA,NA,NA,NA,32585299,"Spiegler KM, Palmieri J, Pang KCH, Myers CE.",Behav Brain Res. 2020 Sep 1;393:112784. doi: 10.1016/j.bbr.2020.112784. Epub 2020 Jun 22.,Spiegler KM,Behav Brain Res,2020,26/06/2020,PMC7423762,NIHMS1616573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KM Spiegler, J Palmieri, KCH Pang…",2020,Behavioural Brain …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0166432820304836,"https://scholar.google.com/scholar?cites=4005791956615096415&as_sdt=2005&sciodt=0,5&hl=en",13,03/12/2020 13:53,HTML,NA
0,1,No clinical group,J,"Blanchard, MA; Belmans, E; Takano, K; Raes, F",NA,,,"Blanchard, M. Annelise; Belmans, Eline; Takano, Keisuke; Raes, Filip",NA,NA,Remembering happy times instead of sticking to negative memories after social exclusion,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,,NA,NA,NA,,,,,,NA,NA,"Background & objectives: Previous research shows that difficulty disengaging from negative (self-related) stimuli (i.e. negative self-referential processing; NSP) is a vulnerability factor for depression (Gotlib & Joormann, 2010) and contributes to its recurrence (LeMoult, Kircanski, Prasad, & Gotlib, 2017). The Emotional Reversal Learning Task (ERLT) was designed to investigate this, and we examined its construct validity by inducing social rejection, an etiological process of depression, within the ERLT model. We expected excluded participants to have difficulty disengaging from NSP. Methods: We administered Cyberball to 130 participants randomly assigned to the excluded or included condition. Participants then completed the ERLT: They chose a valence option (positive or negative), retrieved a memory of the same valence, and then were rewarded or punished for their valence choice. For the first phase, retrieving a negative memory was probabilistically rewarded, and this action-outcome contingency was twice reversed during the task. We used Q-learning models to analyze learning rates. Results: Excluded participants had no more difficulty disengaging from NSP than included participants: Bayesian computational modeling identified no difference between conditions regarding learning that retrieving negative memories was punished. Exploratory analyses found that excluded participants learned the association between retrieving positive memories and reward quicker than included participants, however. Limitations: Doubts remain regarding whether participants fully understood action-outcome contingencies, and we did not explicitly check whether participants truly retrieved memories, which could have affected results. Conclusions: We did not find support for the construct validity of the ERLT when using social exclusion to model depressogenic development within the ERLT.",NA,NA,NA,,"Takano, Keisuke/0000-0003-0406-8654; Blanchard, M. Annelise/0000-0002-9605-7022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0005-7916,1873-7943,,NA,NA,SEP,2020,68,,NA,,,,,,101570,10.1016/j.jbtep.2020.101570,,,NA,NA,NA,NA,WOS:000531101100028,32222613,NA,NA,NA,NA,NA,32222613,"Blanchard MA, Belmans E, Takano K, Raes F.",J Behav Ther Exp Psychiatry. 2020 Sep;68:101570. doi: 10.1016/j.jbtep.2020.101570. Epub 2020 Mar 19.,Blanchard MA,J Behav Ther Exp Psychiatry,2020,31/03/2020,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In rats,J,"Miller, DP; Allen, MT; Servatius, RJ",NA,,,"Miller, Daniel Paul; Allen, Michael Todd; Servatius, Richard J.",NA,NA,Partial Predictability in Avoidance Acquisition and Expression of Wistar-Kyoto and Sprague-Dawley Rats: Implications for Anxiety Vulnerability in Uncertain Situations,FRONTIERS IN PSYCHIATRY,,NA,NA,NA,,,,,,NA,NA,"Individual differences or vulnerabilities must exist which bias some individuals toward psychopathology while others remain resilient in the face of trauma. Recent work has studied the effects of uncertainty on individuals expressing behavioral inhibition (BI). The current study extended this work with uncertainty to Wistar Kyoto (WKY) rats which are a behaviorally inhibited inbred strain that models learning vulnerabilities for anxiety disorders and posttraumatic stress disorder (PTSD). WKY rats exhibit superior avoidance performance in a signaled bar press avoidance task in which a tone conditioned stimulus (CS) signals a foot shock unconditional stimulus (US) when compared with non-inhibited Sprague-Dawley (SD) rats. In addition, WKY rats express enhanced eyeblink conditioning. Recent work with behaviorally inhibited humans has indicated that this enhanced eyeblink conditioning is more evident in conditions that insert CS- or US-alone trials into CS-US paired training, resulting in uncertain and suboptimal learning conditions. The current study examined the effects of partial predictability training, in which the CS signaled the US only one-half of the time, on the acquisition and expression of avoidance. Standard training with a fixed 60-s CS which predicted shock on 100% of trials was compared with training in which the CS predicted shock on 50% of trials (partial predictability) using a pseudorandom schedule. As expected, WKY rats acquired avoidance responses faster and to a greater degree than SD rats. Partial predictability of the US essentially reduced SD rats to escape responding. Partial predictability also reduced avoidance in WKY rats; however, adjusting avoidance rates for the number of potential pairings of the CS and US early in training suggested a similar degree of avoidance expression late in the last session of training. Enhanced active avoidance expression, even in uncertain learning conditions, can be interpreted as behaviorally inhibited WKY rats responding to the expectancy of the shock by avoiding, whereas non-inhibited SD rats were responding to the presence of the shock by escaping. Future work should explore how WKY and SD rats as well as behaviorally inhibited humans acquire and extinguish avoidance responses in uncertain learning situations.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664-0640,,,NA,NA,Aug-19,2020,11,,NA,,,,,,848,10.3389/fpsyt.2020.00848,,,NA,NA,NA,NA,WOS:000566189900001,32973587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
