Include.exclude,Full text screened,Reason,Publication.Type,Authors_wos,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,Article.Title,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,Abstract,Addresses,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year_wos,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Research.Areas,IDS.Number,UT..Unique.WOS.ID.,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,X,�..PMID,Authors_pubmed,Citation,First.Author,Journal.Book,Publication.Year_pubmed,Create.Date,PMCID,NIHMS.ID,ORN,VN,DB,SO,AU,PB,PT,FTURL,XL,OT,�..Cites,Authors,Year,Source,Publishergscholar,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOIgscholar,ISSNgscholar,CitationURL,Volumegscholar,Issuegscholar,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstractgscholar
0,1,No clinical group,J,"Schlund, MW; Carter, H; Cudd, G; Murphy, K; Ahmed, N; Dymond, S; Tone, EB",NA,,,"Schlund, Michael W.; Carter, Hannah; Cudd, Gloria; Murphy, Katie; Ahmed, Nebil; Dymond, Simon; Tone, Erin B.",NA,NA,Human social defeat and approach-avoidance: Escalating social-evaluative threat and threat of aggression increases social avoidance,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,,NA,NA,NA,,,,,,NA,NA,"Basic research on avoidance by Murray Sidman laid the foundation for advances in the classification, conceptualization and treatment of avoidance in psychological disorders. Contemporary avoidance research is explicitly translational and increasingly focused on how competing appetitive and aversive contingencies influence avoidance. In this laboratory investigation, we examined the effects of escalating social-evaluative threat and threat of social aggression on avoidance of social interactions. During social-defeat learning, 38 adults learned to associate 9 virtual peers with an increasing probability of receiving negative evaluations. Additionally, 1 virtual peer was associated with positive evaluations. Next, in an approach-avoidance task with social-evaluative threat, 1 peer associated with negative evaluations was presented alongside the peer associated with positive evaluations. Approaching peers produced a positive or a probabilistic negative evaluation, while avoiding peers prevented a negative evaluation (and forfeited a positive evaluation). In an approach-avoidance task with social aggression, virtual peers gave and took money away from participants. Escalating social-evaluative threat and aggression increased avoidance, ratings of feeling threatened and threat expectancy and decreased ratings of peer favorableness. These findings underscore the potential of coupling social defeat and approach-avoidance paradigms for translational research on the neurobehavioral mechanisms of social approach-avoidance decision-making and anxiety.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-5002,1938-3711,,NA,NA,JAN,2021,115,1,NA,,SI,,157,184,,10.1002/jeab.654,,Dec-20,NA,NA,NA,NA,WOS:000603056500001,33369748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,No clinical group/some correlational analyses,J,"Blain, B; Rutledge, RB",NA,,,"Blain, Bastien; Rutledge, Robb B.",NA,NA,Momentary subjective well-being depends on learning and not reward,ELIFE,,NA,NA,NA,,,,,,NA,NA,"Subjective well-being or happiness is often associated with wealth. Recent studies suggest that momentary happiness is associated with reward prediction error, the difference between experienced and predicted reward, a key component of adaptive behaviour. We tested subjects in a reinforcement learning task in which reward size and probability were uncorrelated, allowing us to dissociate between the contributions of reward and learning to happiness. Using computational modelling, we found convergent evidence across stable and volatile learning tasks that happiness, like behaviour, is sensitive to learning-relevant variables (i.e. probability prediction error). Unlike behaviour, happiness is not sensitive to learning-irrelevant variables (i.e. reward prediction error). Increasing volatility reduces how many past trials influence behaviour but not happiness. Finally, depressive symptoms reduce happiness more in volatile than stable environments. Our results suggest that how we learn about our world may be more important for how we feel than the rewards we actually receive.",NA,NA,NA,,"Rutledge, Robb/0000-0001-7337-5039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2050-084X,,,NA,NA,Nov-17,2020,9,,NA,,,,,,e57977,10.7554/eLife.57977,,,NA,NA,NA,NA,WOS:000602797500001,33200989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Commentary piece,J,"Sumiya, M; Katahira, K",NA,,,"Sumiya, Motofumi; Katahira, Kentaro",NA,NA,Commentary: Altered learning under uncertainty in unmedicated mood and anxiety disorders,FRONTIERS IN HUMAN NEUROSCIENCE,,NA,NA,NA,,,,,,NA,NA,,NA,NA,NA,,"Sumiya, Motofumi/0000-0002-2021-0414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662-5161,,,NA,NA,Nov-13,2020,14,,NA,,,,,,561770,10.3389/fnhum.2020.561770,,,NA,NA,NA,NA,WOS:000592430000001,33281579,NA,NA,NA,NA,NA,33281579,"Sumiya M, Katahira K.",Front Hum Neurosci. 2020 Nov 13;14:561770. doi: 10.3389/fnhum.2020.561770. eCollection 2020.,Sumiya M,Front Hum Neurosci,2020,07/12/2020,PMC7691592,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,No clinical group,J,"Meulders, A; Franssen, M; Claes, J",NA,,,"Meulders, Ann; Franssen, Mathijs; Claes, Janne",NA,NA,Avoiding Based on Shades of Gray: Generalization of Pain-Related Avoidance Behavior to Novel Contexts,JOURNAL OF PAIN,,NA,NA,NA,,,,,,NA,NA,"Avoidance behavior is protective, yet in the absence of genuine bodily threat, it may become disabling. Therefore, we investigated whether avoidance generalizes to novel safe contexts based on the similarity with the acquisition context. Healthy participants performed arm movements using a robotic arm to reach a target. Three trajectories (T1-3) led to the target. During acquisition, a painful stimulus could be partly/completely prevented by performing more effortful trajectories (ie, longer and more force needed), T2/T3, in the pain-avoidance context (eg, black background); in the yoked context (eg, white background), the same reinforcement schedule was applied irrespective of the chosen trajectories. Generalization of avoidance was tested in 2 novel contexts (eg, shades of gray backgrounds). We assessed self-reported pain-expectancy and pain-related fear for all trajectories, and avoidance behavior (ie, maximal deviation from T1). Results confirm that fear and expectancy ratings reflect the response-outcome contingencies and differential learning selectively generalized to the novel context resembling the original pain-avoidance context. Furthermore, a linear trend in avoidance behavior across contexts emerged, which is indicative of a generalization gradient. Participants avoided more in the context resembling the original pain-avoidance context than in the one resembling the yoked context, but this effect was not statistically significant. Perspective: Perspective: We demonstrated acquisition of pain-related avoidance behavior in a within-subjects design, showing modulation of pain-related fear and pain-expectancy by context and providing limited evidence that avoidance selectively generalizes to novel, similar contexts. These results provide insight regarding the underlying mechanisms of the spreading of protective behavior in chronic pain patients. (C) 2020 U.S. Association for the Study of Pain. Published by Elsevier Inc. All rights reserved.",NA,NA,NA,,"Meulders, Ann/0000-0003-4250-3928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526-5900,1528-8447,,NA,NA,NOV-DEC,2020,21,11-Dec,NA,,,,1212,1223,,10.1016/j.jpain.2020.02.002,,,NA,NA,NA,NA,WOS:000600631300010,32553620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In donkeys,J,"Gonzalez, FJN; Vidal, JJ; Jurado, JML; McLean, AK; Bermejo, JVD",NA,,,"Navas Gonzalez, Francisco Javier; Vidal, Jordi Jordana; Leon Jurado, Jose Manuel; McLean, Amy Katherine; Delgado Bermejo, Juan Vicente",NA,NA,"Nonparametric analysis of noncognitive determinants of response type, intensity, mood, and learning in donkeys (Equus asinus)",JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH,,NA,NA,NA,,,,,,NA,NA,"Operant conditioning and quantitative and Qualitative Behavioral Assessment synergism can provide valuable information about animals' extinction/learning and emotional status. In this study, we tested operant conditioning with 300 donkeys using six different reinforcers. Simultaneously, we studied the effects 15 animal-inherent, environment and location, and test-related factors had on the response type and intensity, mood, and extinction/learning ability variables. We sought to test three hypotheses using nonparametric categorical analyses. First, we studied which of the 15 noncognitive factors could explain the variability of the 4 behavioral variables and their explanatory power. Second, we assessed the frontal and lateral ear positions donkeys displayed when each reinforcement treatment was implemented to study the correlations between the ear position and twelve mood Qualitative Behavioral Assessment categories. Third, we assessed which reinforcement treatment was more suitable to promote donkeys' learning and welfare, studying their success rate at completing the operant conditioning test and welfare-related behavioral signs, respectively. Almost all noncognitive factors significantly affected four variables (P < 0.001), although some were not linearly correlated. Our results show that body language is as an efficient tool to report translatable information on the donkey's mood and that neutral or luring/positive reinforcement techniques promote learning and are welfare-friendly methods to modified behaviors in donkeys. (C) 2020 Elsevier Inc. All rights reserved.",NA,NA,NA,,"Delgado Bermejo, Juan Vicente/0000-0003-1657-8838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1558-7878,1878-7517,,NA,NA,NOV-DEC,2020,40,,NA,,,,21,35,,10.1016/j.jveb.2020.08.003,,,NA,NA,NA,NA,WOS:000600667700005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,"Dental anxiety, no clinical group",J,"Song, JS; Chung, HC; Sohn, S; Kinn, YJ",NA,,,"Song, J-S; Chung, H-C; Sohn, S.; Kinn, Y-J",NA,NA,Effects of psychological behaviour management programme on dental fear and anxiety in children: A randomised controlled clinical trial,EUROPEAN JOURNAL OF PAEDIATRIC DENTISTRY,,NA,NA,NA,,,,,,NA,NA,"Aim A psychological behaviour management programme with information and communications technology was developed that includes symbolic modelling, tell-show-do, positive reinforcement and distraction, and provides real-time treatment information. We hypothesised that the programme would help patients feel less stressed and show less uncooperative behaviours and subjective pain. Methods Forty-eight paediatric patients were recruited from May 2016 to January 2017, and randomly divided into a control group and an experimental group. In the control, patients watched cartoon animations during the first and second treatments. The experimental group watched cartoon animations during the first treatment, and they used the programme during the second treatment. To measure stress, uncooperative behaviour and subjective pain, we recorded the heart rate, Procedure Behaviour Checklist (PBCL) and Wong and Baker's Faces Pain Rating Scale (FPRS). Results The experimental group resulted in a significantly lower mean heart rate, uncooperative behaviour and subjective pain in the second treatment than did the control group (p<0.001). The differences in heart rate and uncooperative behaviour between the treatments were also significantly greater in the experimental group than in the control group (p<0.001). Conclusion The programme was effective in relieving fear and anxiety as well as learning cooperative behaviour.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591-996X,2035-648X,,NA,NA,,2020,21,4,NA,,,,287,291,,10.23804/ejpd.2020.21.04.6,,,NA,NA,NA,NA,WOS:000610370100005,33337904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Review paper,NA,NA,NA,NA,NA,NA,NA,NA,Neural Computations of Threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1016/j.tics.2020.11.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33384214,"Levy I, Schiller D.",Trends Cogn Sci. 2021 Feb;25(2):151-171. doi: 10.1016/j.tics.2020.11.007. Epub 2020 Dec 28.,Levy I,Trends Cogn Sci,2021,01/01/2021,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,,NA,NA,NA,NA,NA,NA,NA,NA,Impaired adaptation of learning to contingency volatility in internalizing psychopathology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7554/eLife.61387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33350387,"Gagne C, Zika O, Dayan P, Bishop SJ.",Elife. 2020 Dec 22;9:e61387. doi: 10.7554/eLife.61387.,Gagne C,Elife,2020,22/12/2020,PMC7755392,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,No clinical group,NA,NA,NA,NA,NA,NA,NA,NA,The actions of others act as a pseudo-reward to drive imitation in the context of social reinforcement learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1371/journal.pbio.3001028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33290387,"Najar A, Bonnet E, Bahrami B, Palminteri S.",PLoS Biol. 2020 Dec 8;18(12):e3001028. doi: 10.1371/journal.pbio.3001028. eCollection 2020 Dec.,Najar A,PLoS Biol,2020,08/12/2020,PMC7723279,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In binge eating,NA,NA,NA,NA,NA,NA,NA,NA,Eating expectancies and reinforcement learning: a state-based test of affect regulation and expectancy models in the natural environment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1007/s40519-020-01079-z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33386588,"Schaefer LM, Smith KE, Dvorak R, Crosby RD, Wonderlich SA.",Eat Weight Disord. 2021 Jan 1. doi: 10.1007/s40519-020-01079-z. Online ahead of print.,Schaefer LM,Eat Weight Disord,2021,02/01/2021,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
