Include/exclude	Reason	Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
0	In rat robots	"Khamassi, Mehdi; Lachèze, Loïc; Girard, Benoît; Berthoz, Alain; Guillot, Agnès; "	Actor–Critic models of reinforcement learning in the basal ganglia: from natural to artificial rats	Adaptive Behavior	13	2	131-148	2005	"Sage Publications Sage CA: Thousand Oaks, CA"
0	No clinical group	"Niv, Yael; Edlund, Jeffrey A; Dayan, Peter; O'Doherty, John P; "	Neural prediction errors reveal a risk-sensitive reinforcement-learning process in the human brain	Journal of Neuroscience	32	2	551-562	2012	Soc Neuroscience
0	In robots	"Broekens, Joost; "	Emotion and reinforcement: affective facial expressions facilitate robot learning	Artifical intelligence for human computing			113-132	2007	Springer
0	Review paper	"Ziegler, Sigurd; Pedersen, Mads L; Mowinckel, Athanasia M; Biele, Guido; "	Modelling ADHD: A review of ADHD theories through their predictions for computational models of decision-making and reinforcement learning	Neuroscience & Biobehavioral Reviews	71		633-656	2016	Elsevier
0	Review paper	"Deserno, Lorenz; Boehme, Rebecca; Heinz, Andreas; Schlagenhauf, Florian; "	Reinforcement learning and dopamine in schizophrenia: dimensions of symptoms or specific features of a disease group?	Frontiers in psychiatry	4		172	2013	Frontiers
0	Cognitive architecture	"Laird, John E; "	Extending the Soar cognitive architecture	Frontiers in Artificial Intelligence and Applications	171		224	2008	IOS Press
0	No clinical group	"Sebold, Miriam; Schad, Daniel J; Nebe, Stephan; Garbusow, Maria; Jünger, Elisabeth; Kroemer, Nils B; Kathmann, Norbert; Zimmermann, Ulrich S; Smolka, Michael N; Rapp, Michael A; "	"Don't think, just feel the music: individuals with strong Pavlovian-to-instrumental transfer effects rely less on model-based reinforcement learning"	Journal of cognitive neuroscience	28	7	985-995	2016	MIT Press
0	Infant vocalisation	"Zhang, Zixing; Han, Jing; Qian, Kun; Schuller, Björn W; "	Evolving Learning for Analysing Mood-Related Infant Vocalisation.	Interspeech			142-146	2018	
0	Review paper	"Moutoussis, Michael; Eldar, Eran; Dolan, Raymond J; "	Building a new field of computational psychiatry	Biological psychiatry	82	6	388-390	2017	Elsevier
0	Review paper	"Rygula, Rafal; Noworyta-Sokolowska, Karolina; Drozd, Robert; Kozub, Anna; "	Using rodents to model abnormal sensitivity to feedback in depression	Neuroscience & Biobehavioral Reviews	95		336-346	2018	Elsevier
0	Patent	"Ponulak, Filip; Sinyavskiy, Oleg; "	Apparatus and methods for reinforcement learning in artificial neural networks					2015	Google Patents
0	No clinical group	"Cockburn, Jeffrey; Collins, Anne GE; Frank, Michael J; "	A reinforcement learning mechanism responsible for the valuation of free choice	Neuron	83	3	551-557	2014	Elsevier
0	No clinical group	"Frank, Michael J; Gagne, Chris; Nyhus, Erika; Masters, Sean; Wiecki, Thomas V; Cavanagh, James F; Badre, David; "	fMRI and EEG predictors of dynamic decision parameters during human reinforcement learning	Journal of Neuroscience	35	2	485-494	2015	Soc Neuroscience
0	Review paper	"Luksys, Gediminas; Sandi, Carmen; "	Neural mechanisms and computations underlying stress effects on learning and memory	Current opinion in neurobiology	21	3	502-508	2011	Elsevier
0	In rats	"Kelley, Ann E; Smith-Roe, Stephanie L; Holahan, Matthew R; "	Response-reinforcement learning is dependent on N-methyl-D-aspartate receptor activation in the nucleus accumbens core	Proceedings of the National Academy of Sciences	94	22	12174-12179	1997	National Acad Sciences
0	Neurons/circuits	"Chadderdon, George L; Neymotin, Samuel A; Kerr, Cliff C; Lytton, William W; "	Reinforcement learning of targeted movement in a spiking neuronal model of motor cortex	PloS one	7	10	e47251	2012	Public Library of Science
0	Review chapter	"Treadway, Michael T; "	The neurobiology of motivational deficits in depression—an update on candidate pathomechanisms	Behavioral Neuroscience of Motivation			337-355	2015	Springer
0	Review paper	"Waddell, Scott; "	Reinforcement signalling in Drosophila; dopamine does it all after all	Current opinion in neurobiology	23	3	324-329	2013	Elsevier
