Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI
"C Chen, T Takahashi, S Nakagawa, T Inoue…"	Reinforcement learning in depression: a review of computational research	2015	… & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763415001311	"https://scholar.google.com/scholar?cites=14119148433645211285&as_sdt=2005&sciodt=0,5&hl=en"	1	03/12/2020 13:53	HTML	
"A Mkrtchian, J Aylward, P Dayan, JP Roiser…"	Modeling avoidance in mood and anxiety disorders using reinforcement learning	2017	Biological …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322317300914	"https://scholar.google.com/scholar?cites=17704298607941658811&as_sdt=2005&sciodt=0,5&hl=en"	2	03/12/2020 13:53	HTML	
"Y Kunisato, K Katahira, T Okimura…"	Computational approach to depression: From the viewpoint of reinforcement learning	2019	Japanese Psychological …	jstage.jst.go.jp	https://www.jstage.jst.go.jp/article/sjpr/62/1/62_88/_article/-char/ja/	"https://scholar.google.com/scholar?cites=8392544970107897773&as_sdt=2005&sciodt=0,5&hl=en"	3	03/12/2020 13:53		
"J Aylward, V Valton, WY Ahn, RL Bond…"	Altered learning under uncertainty in unmedicated mood and anxiety disorders	2019	Nature human …	nature.com	https://www.nature.com/articles/s41562-019-0628-0	"https://scholar.google.com/scholar?cites=8438759844949428546&as_sdt=2005&sciodt=0,5&hl=en"	4	03/12/2020 13:53	HTML	
"H Huang, W Thompson, MP Paulus"	Computational dysfunctions in anxiety: Failure to differentiate signal from noise	2017	Biological psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322317318061	"https://scholar.google.com/scholar?cites=17270933045658141128&as_sdt=2005&sciodt=0,5&hl=en"	5	03/12/2020 13:53	HTML	
"NJ Blanco, AR Otto, WT Maddox, CG Beevers, BC Love"	The influence of depression symptoms on exploratory decision-making	2013	Cognition	Elsevier	https://www.sciencedirect.com/science/article/pii/S0010027713001753	"https://scholar.google.com/scholar?cites=6452180075653784167&as_sdt=2005&sciodt=0,5&hl=en"	6	03/12/2020 13:53	HTML	
"Y Kunisato, Y Okamoto, K Ueda, K Onoda…"	Effects of depression on reward-based decision making and variability of action in probabilistic learning	2012	Journal of behavior …	Elsevier	https://www.sciencedirect.com/science/article/pii/S000579161200047X	"https://scholar.google.com/scholar?cites=5012252608470616299&as_sdt=2005&sciodt=0,5&hl=en"	7	03/12/2020 13:53	HTML	
"QJM Huys, DA Pizzagalli, R Bogdan…"	Mapping anhedonia onto reinforcement learning: a behavioural meta-analysis	2013	Biology of mood & anxiety …	Springer	https://link.springer.com/article/10.1186/2045-5380-3-12	"https://scholar.google.com/scholar?cites=6660372739586598181&as_sdt=2005&sciodt=0,5&hl=en"	8	03/12/2020 13:53	HTML	
"RP Marinier, JE Laird"	Emotion-driven reinforcement learning	2008	Proceedings of the annual meeting of the …	escholarship.org	https://escholarship.org/content/qt9jk839mw/qt9jk839mw.pdf	"https://scholar.google.com/scholar?cites=15744105566386615697&as_sdt=2005&sciodt=0,5&hl=en"	9	03/12/2020 13:53	PDF	
"T Gui, Q Zhang, L Zhu, X Zhou, M Peng…"	Depression Detection on Social Media with Reinforcement Learning	2019	… Chinese Computational …	Springer	https://link.springer.com/chapter/10.1007/978-3-030-32381-3_49		10	03/12/2020 13:53		
"H Ogishima, S Maeda, Y Tanaka, H Shimada"	"Effects of Depressive Symptoms, Feelings, and Interoception on Reward-Based Decision-Making: Investigation Using Reinforcement Learning Model"	2020	Brain Sciences	mdpi.com	https://www.mdpi.com/2076-3425/10/8/508	"https://scholar.google.com/scholar?cites=13512240265082704681&as_sdt=2005&sciodt=0,5&hl=en"	11	03/12/2020 13:53		
"F Queirazza, E Fouragnan, JD Steele…"	Neural correlates of weighted reward prediction error during reinforcement learning classify response to cognitive behavioral therapy in depression	2019	Science …	advances.sciencemag.org	https://advances.sciencemag.org/content/5/7/eaav4962.abstract	"https://scholar.google.com/scholar?cites=280514869552878777&as_sdt=2005&sciodt=0,5&hl=en"	12	03/12/2020 13:53		
"KM Spiegler, J Palmieri, KCH Pang…"	A reinforcement-learning model of active avoidance behavior: Differences between Sprague Dawley and Wistar-Kyoto rats	2020	Behavioural Brain …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0166432820304836	"https://scholar.google.com/scholar?cites=4005791956615096415&as_sdt=2005&sciodt=0,5&hl=en"	13	03/12/2020 13:53	HTML	
