Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
107,"C Chen, T Takahashi, S Nakagawa, T Inoue…","Reinforcement learning in depression: a review of computational research",2015,"… & Biobehavioral Reviews","Elsevier","https://www.sciencedirect.com/science/article/pii/S0149763415001311?casa_token=KMp5Qm_Fc1QAAAAA:oCy-tz47168rtpMLt2IAvV_h6x25Sni5_HBqv5cdsfcXnN3O5LUbcWxlinwWta_3-rkLFkzzWQ","https://scholar.google.com/scholar?cites=14119148433645211285&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-02-23 14:50:47","HTML","","","",,,,,107,17.83,21,5,6,"Despite being considered primarily a mood disorder, major depressive disorder (MDD) is characterized by cognitive and decision making deficits. Recent research has employed computational models of reinforcement learning (RL) to address these deficits. The …"
58,"A Mkrtchian, J Aylward, P Dayan, JP Roiser…","Modeling avoidance in mood and anxiety disorders using reinforcement learning",2017,"Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006322317300914","https://scholar.google.com/scholar?cites=17704298607941658811&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-02-23 14:50:47","HTML","","","",,,,,58,14.50,12,5,4,"… We therefore turned to a computational model-based analysis to integrate the results across conditions, and thereby … we exploit this clearer understanding to show model-agnostic signatures of the model-based effects. Reinforcement Learning Model Selection and Validation …"
36,"H Huang, W Thompson, MP Paulus","Computational dysfunctions in anxiety: Failure to differentiate signal from noise",2017,"Biological psychiatry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006322317318061?casa_token=Fe3Sb4t0L9gAAAAA:mV83yXwGFy18rMi-4xYrjkbXpJropxnXIoVwyl-LDCfHJkDd8n1vCdzO8gLMSA_-vhX_jDR0sA","https://scholar.google.com/scholar?cites=17270933045658141128&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-02-23 14:50:47","HTML","","","",,,,,36,9.00,12,3,4,"… Vmax reinforcement learning, V i t + 1 = { V i t + η 0 ( R t − V i t ) , a r g m a x { V t … Two computational models were used to explain the observed behavioral data. Whereas a simple RL model assumes that individuals have a constant learning rate, the Vmax RL model assumes that …"
30,"J Aylward, V Valton, WY Ahn, RL Bond…","Altered learning under uncertainty in unmedicated mood and anxiety disorders",2019,"Nature human …","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41562-019-0628-0&casa_token=jKsoWp5t3hIAAAAA:GmlgItPKF-xeO7EWnaS8OguhxxZYRjouAjr7CYZNm7QWm1N8LijmoNdCF686CWh8VGUgGu4X1M_ER3pU","https://scholar.google.com/scholar?cites=8438759844949428546&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-02-23 14:50:47","HTML","","","",,,,,30,15.00,6,5,2,"… Here we probe the computational basis of learning under uncertainty in healthy individuals and … with those of pathological anxiety 8 , indicating that this model is relevant … increase punishment sensitivity and punishment learning rate in the reinforcement learning algorithm, and …"
1,"Y Kunisato, K Katahira, T Okimura…","Computational approach to depression: From the viewpoint of reinforcement learning",2019,"Japanese Psychological …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/sjpr/62/1/62_88/_article/-char/ja/","https://scholar.google.com/scholar?cites=8392544970107897773&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-02-23 14:50:47","","","","",,,,,1,0.50,0,4,2,"Depression is a highly recognized mental disorder that has been widely studied. However, an essential understanding of depression has not been achieved. We conducted a narrative review to examine the mechanism of depression, based on the perspective of a …"
55,"NJ Blanco, AR Otto, WT Maddox, CG Beevers, BC Love","The influence of depression symptoms on exploratory decision-making",2013,"Cognition","Elsevier","https://www.sciencedirect.com/science/article/pii/S0010027713001753?casa_token=TPwONUgJDzUAAAAA:kk0oBKfGEO2czXj_TpeV9sxgcX7zlvnqzqHmzlV79aekc4rS64D1Wpwk5imT6wSq4u_rWRYdAw","https://scholar.google.com/scholar?cites=6452180075653784167&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-02-23 14:50:47","HTML","","","",,,,,55,6.88,11,5,8,"… the distinction between “model-based” and “model-free” learning in Reinforcement Learning (RL; Daw … We fit computational models that embody reflective and reflexive strategies to participants … Further, depressive individuals best described by the Naïve RL model reported the …"
72,"Y Kunisato, Y Okamoto, K Ueda, K Onoda…","Effects of depression on reward-based decision making and variability of action in probabilistic learning",2012,"Journal of behavior …","Elsevier","https://www.sciencedirect.com/science/article/pii/S000579161200047X?casa_token=3yEg646VORMAAAAA:snoVS0g6QbHHkn8Njg3qVmRZ6_qryFW073ijyEisLMeyWjdgENjAvBhPPu3Qt57Hau8V9d0r8A","https://scholar.google.com/scholar?cites=5012252608470616299&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-02-23 14:50:47","HTML","","","",,,,,72,8.00,14,5,9,"… as the effects of depression on the learning parameters derived from a computational reinforcement learning model … was conducted, participants completed several self-report measures of mood and depressive … The CES-D and Beck Depression Inventory-II (BDI-II) (Beck, Steer …"
218,"QJM Huys, DA Pizzagalli…","Mapping anhedonia onto reinforcement learning: a behavioural meta-analysis",2013,"… & anxiety …","biolmoodanxietydisord …","https://biolmoodanxietydisord.biomedcentral.com/articles/10.1186/2045-5380-3-12","https://scholar.google.com/scholar?cites=6660372739586598181&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-02-23 14:50:47","HTML","","","",,,,,218,27.25,73,3,8,"… Search all BMC articles Search. Biology of Mood & Anxiety Disorders …"
48,"RP Marinier, JE Laird","Emotion-driven reinforcement learning",2008,"Proceedings of the annual meeting of the …","escholarship.org","https://escholarship.org/content/qt9jk839mw/qt9jk839mw.pdf","https://scholar.google.com/scholar?cites=15744105566386615697&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-02-23 14:50:47","PDF","","","",,,,,48,3.69,24,2,13,"… up of last several episodes for agent with just emotion and agent with emotion and mood … In conclusion, we have developed a computational model of emotion that integrates with a … that had been proposed by other models; namely, that feelings can drive reinforcement learning …"
1,"CC Ting, S Palminteri, M Lebreton, J Engelmann","The elusive effects of incidental anxiety on reinforcement-learning",2020,"","psyarxiv.com","https://psyarxiv.com/7d4tc/","https://scholar.google.com/scholar?cites=15293960127955088686&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-02-23 14:50:47","","","","",,,,,1,1.00,0,4,1,"… reinforcement learning to systematically address the shortcomings identified above. First, we … Computational modelling Step 1: identifying the best computational architecture … nested model-space (Model Space 1), including six increasingly complex RL models (see Figure 4 A …"
9,"F Queirazza, E Fouragnan, JD Steele…","Neural correlates of weighted reward prediction error during reinforcement learning classify response to cognitive behavioral therapy in depression",2019,"Science …","advances.sciencemag.org","https://advances.sciencemag.org/content/5/7/eaav4962.abstract","https://scholar.google.com/scholar?cites=280514869552878777&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-02-23 14:50:47","","","","",,,,,9,4.50,2,4,2,"… The choice of a relevant generative model in MDD is dictated by a wealth of … that learning from positive (reward) and negative (punishment) feedback [also known as reinforcement learning (RL)] is … The computational backdrop of RL affords a formal and normative account of the …"
36,"L Zambrano-Vazquez, JJB Allen","Differential contributions of worry, anxiety, and obsessive compulsive symptoms to ERN amplitudes in response monitoring and reinforcement learning tasks",2014,"Neuropsychologia","Elsevier","https://www.sciencedirect.com/science/article/pii/S0028393214002048?casa_token=jHf15PhVcwUAAAAA:mEhaE4az2IiNfBoZdA6qZOzT8oj0dYSUYLkkATjdq1IPPK5RAYWyLk9RONotdV3Ws5jkOYlOnw","https://scholar.google.com/scholar?cites=4142984483738372753&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-02-23 14:50:47","HTML","","","",,,,,36,5.14,18,2,7,"… Share. Export. Advanced. Elsevier. Neuropsychologia. Volume 61, August 2014, Pages 197-209. Neuropsychologia. Differential contributions of worry, anxiety, and obsessive compulsive symptoms to ERN amplitudes in response monitoring and reinforcement learning tasks …"
