Include/exclude at abstract review,Reason,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
0,Cerebellum/cells,J,"Yamazaki, T; Lennon, W",,,,"Yamazaki, Tadashi; Lennon, William",,,Revisiting a theory of cerebellar cortex,NEUROSCIENCE RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0168-0102,1872-8111,,,,NOV,2019,148,,,,,,1,8,,10.1016/j.neures.2019.03.001,,,,,,,WOS:000486296200001,30922970,,,,
0,Cervical dystonia,J,"Gilbertson, T; Humphries, M; Steele, JD",,,,"Gilbertson, Tom; Humphries, Mark; Steele, J. Douglas",,,Maladaptive striatal plasticity and abnormal reward-learning in cervical dystonia,EUROPEAN JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,,,"; Steele, J Douglas/A-8972-2017","Gilbertson, Tom/0000-0002-9866-1565; Steele, J Douglas/0000-0002-9822-8753",,,,,,,,,,,,0953-816X,1460-9568,,,,OCT,2019,50,7,,,,,3191,3204,,10.1111/ejn.14414,,,,,,,WOS:000493116600011,30955204,,,,
1,,J,"Aylward, J; Valton, V; Ahn, WY; Bond, RL; Dayan, P; Roiser, JP; Robinson, OJ",,,,"Aylward, Jessica; Valton, Vincent; Ahn, Woo-Young; Bond, Rebecca L.; Dayan, Peter; Roiser, Jonathan P.; Robinson, Oliver J.",,,Altered learning under uncertainty in unmedicated mood and anxiety disorders,NATURE HUMAN BEHAVIOUR,,,,,,,,,,,,,,,,"Robinson, Oliver/B-3646-2011","Robinson, Oliver/0000-0002-3100-1132",,,,,,,,,,,,2397-3374,,,,,OCT,2019,3,10,,,,,1116,1123,,10.1038/s41562-019-0628-0,,,,,,,WOS:000489637200045,31209369,,,,
0,Machine learning in neuroimaging,J,"Jollans, L; Boyle, R; Artiges, E; Banaschewski, T; Desrivieres, S; Grigis, A; Martinot, JL; Paus, T; Smolka, MN; Walter, H; Schumann, G; Garavan, H; Whelan, R",,,,"Jollans, Lee; Boyle, Rory; Artiges, Eric; Banaschewski, Tobias; Desrivieres, Sylvane; Grigis, Antoine; Martinot, Jean-Luc; Paus, Tomas; Smolka, Michael N.; Walter, Henrik; Schumann, Gunter; Garavan, Hugh; Whelan, Robert",,,Quantifying performance of machine learning methods for neuroimaging data,NEUROIMAGE,,,,,,,,,,,,,,,,"Artiges, Eric/C-2815-2019","Artiges, Eric/0000-0003-4461-7646; Boyle, Rory/0000-0003-0787-6892",,,,,,,,,,,,1053-8119,1095-9572,,,,Oct-01,2019,199,,,,,,351,365,,10.1016/j.neuroimage.2019.05.082,,,,,,,WOS:000478780200033,31173905,,,,
0,All healthy volunteers,J,"Pulcu, E; Shkreli, L; Hoist, CG; Woud, ML; Craske, MG; Browning, M; Reinecke, A",,,,"Pulcu, Erdem; Shkreli, Lorika; Hoist, Carolina Guzman; Woud, Marcella L.; Craske, Michelle G.; Browning, Michael; Reinecke, Andrea",,,The Effects of the Angiotensin II Receptor Antagonist Losartan on Appetitive Versus Aversive Learning: A Randomized Controlled Trial,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,"browning, michael/M-7338-2017","browning, michael/0000-0001-9108-3144",,,,,,,,,,,,0006-3223,1873-2402,,,,Sep-01,2019,86,5,,,,,397,404,,10.1016/j.biopsych.2019.04.010,,,,,,,WOS:000480435400012,31155138,,,,
0,Gambling,J,"Magnusson, K; Nilsson, A; Andersson, G; Hellner, C; Carlbring, P",,,,"Magnusson, Kristoffer; Nilsson, Anders; Andersson, Gerhard; Hellner, Clara; Carlbring, Per",,,Internet-Delivered Cognitive-Behavioral Therapy for Significant Others of Treatment-Refusing Problem Gamblers: A Randomized Wait-List Controlled Trial,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,,,,,,,,,,,,,,,,,"Magnusson, Kristoffer/0000-0003-0713-0556",,,,,,,,,,,,0022-006X,1939-2117,,,,SEP,2019,87,9,,,,,802,814,,10.1037/ccp0000425,,,,,,,WOS:000480315100004,31403816,,,,
0,Non-clinical sample,J,"Takano, K; Van Grieken, J; Raes, F",,,,"Takano, Keisuke; Van Grieken, Julie; Raes, Filip",,,Difficulty in updating positive beliefs about negative cognition is associated with increased depressed mood,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0005-7916,1873-7943,,,,SEP,2019,64,,,,,,22,30,,10.1016/j.jbtep.2019.02.001,,,,,,,WOS:000469161400004,30739047,,,,
0,Non-clinical sample,J,"Shahar, N; Moran, R; Hauser, TU; Kievit, RA; McNamee, D; Moutoussis, M; Dolan, RJ",,,,"Shahar, Nitzan; Moran, Rani; Hauser, Tobias U.; Kievit, Rogier A.; McNamee, Daniel; Moutoussis, Michael; Dolan, Raymond J.",,NSPN Consortium,Credit assignment to state-independent task representations and its relationship with model-based decision making,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,"Shahar, Nitzan/0000-0002-1364-6738; Moran, Rani/0000-0002-7641-2402; Hauser, Tobias U./0000-0002-7997-8137; Kievit, Rogier/0000-0003-0700-4568",,,,,,,,,,,,0027-8424,,,,,Aug-06,2019,116,32,,,,,15871,15876,,10.1073/pnas.1821647116,,,,,,,WOS:000478971900024,31320592,,,,
0,"Passive observation task, no behaviour - also used same parameters for all",J,"Geugies, H; Mocking, RJT; Figueroa, CA; Groot, PFC; Marsman, JBC; Servaas, MN; Steele, JD; Schene, AH; Ruhe, HG",,,,"Geugies, Hanneke; Mocking, Roel J. T.; Figueroa, Caroline A.; Groot, Paul F. C.; Marsman, Jan-Bernard C.; Servaas, Michelle N.; Steele, J. Douglas; Schene, Aart H.; Ruhe, Henricus G.",,,Impaired reward-related learning signals in remitted unmedicated patients with recurrent depression,BRAIN,,,,,,,,,,,,,,,,"Steele, J Douglas/A-8972-2017","Steele, J Douglas/0000-0002-9822-8753",,,,,,,,,,,,0006-8950,1460-2156,,,,AUG,2019,142,,8,,,,2510,2522,,10.1093/brain/awz167,,,,,,,WOS:000493084400036,31280309,,,,
0,Cannabis,J,"Spechler, PA; Allgaier, N; Chaarani, B; Whelan, R; Watts, R; Orr, C; Albaugh, MD; D'Alberto, N; Higgins, ST; Hudson, KE; Mackey, S; Potter, A; Banaschewski, T; Bokde, ALW; Bromberg, U; Buchel, C; Cattrell, A; Conrod, PJ; Desrivieres, S; Flor, H; Frouin, V; Gallinat, J; Gowland, P; Heinz, A; Ittermann, B; Martinot, JL; Martinot, MLP; Nees, F; Orfanos, DP; Paus, T; Poustka, L; Smolka, MN; Walter, H; Schumann, G; Althoff, RR; Garavan, H; Mann, K; Struve, M; Rietschel, M; Spanagel, R; Fauth-Buhler, M; Millenet, S; Grimmer, Y; Ivanov, N; Strache, N; Rapp, M; Strohle, A; Reuter, J; Barbot, A; Thyreau, B; Schwartz, Y; Lalanne, C; Bricaud, Z; Briand, FG; Lemaitre, H; Massicotte, J; Vulser, H; Pentilla, J; Galinowski, A; Jia, TY; Werts, H; Topper, L; Reed, L; Andrew, C; Mallik, C; Ruggeri, B; Nymberg, C; Smith, L; Loth, E; Havatzias, S; Stueber, K; Stringaris, A; Bruhl, R; Ihlenfeld, A; Walaszek, B; Hubner, T; Muller, K; Ripke, S; Rodehacke, S; Mennigen, E; Schmidt, D; Vetter, N; Ziesch, V; Jones, J; Poline, JB; Fadai, T; Yacubian, J; Schneider, S; Lawrence, C; Newman, C; Head, K; Heym, N; Pausova, Z; Tahmasebi, A",,,,"Spechler, Philip A.; Allgaier, Nicholas; Chaarani, Bader; Whelan, Robert; Watts, Richard; Orr, Catherine; Albaugh, Matthew D.; D'Alberto, Nicholas; Higgins, Stephen T.; Hudson, Kelsey E.; Mackey, Scott; Potter, Alexandra; Banaschewski, Tobias; Bokde, Arun L. W.; Bromberg, Uli; Buechel, Christian; Cattrell, Anna; Conrod, Patricia J.; Desrivieres, Sylvane; Flor, Herta; Frouin, Vincent; Gallinat, Juergen; Gowland, Penny; Heinz, Andreas; Ittermann, Bernd; Martinot, Jean-Luc; Martinot, Marie-Laure Paillere; Nees, Frauke; Orfanos, Dimitri Papadopoulos; Paus, Tomas; Poustka, Luise; Smolka, Michael N.; Walter, Henrik; Schumann, Gunter; Althoff, Robert R.; Garavan, Hugh; Mann, Karl; Struve, Maren; Rietschel, Marcella; Spanagel, Rainer; Fauth-Buehler, Mira; Millenet, Sabina; Grimmer, Yvonne; Ivanov, Nikolay; Strache, Nicole; Rapp, Michael; Stroehle, Andreas; Reuter, Jan; Barbot, Alexis; Thyreau, Benjamin; Schwartz, Yannick; Lalanne, Christophe; Bricaud, Zuleima; Briand, Fanny Gollier; Lemaitre, Herve; Massicotte, Jessica; Vulser, Helene; Pentilla, Jani; Galinowski, Andre; Jia, Tianye; Werts, Helen; Topper, Lauren; Reed, Laurence; Andrew, Chris; Mallik, Catherine; Ruggeri, Barbara; Nymberg, Charlotte; Smith, Lindsay; Loth, Eva; Havatzias, Stephanie; Stueber, Kerstin; Stringaris, Argyris; Bruehl, Ruediger; Ihlenfeld, Albrecht; Walaszek, Bernadeta; Huebner, Thomas; Mueller, Kathrin; Ripke, Stephan; Rodehacke, Sarah; Mennigen, Eva; Schmidt, Dirk; Vetter, Nora; Ziesch, Veronika; Jones, Jennifer; Poline, Jean-Baptiste; Fadai, Tahmine; Yacubian, Juliana; Schneider, Sophia; Lawrence, Claire; Newman, Craig; Head, Kay; Heym, Nadja; Pausova, Zdenka; Tahmasebi, Amir",,IMAGEN Consortium,The initiation of cannabis use in adolescence is predicted by sex-specific psychosocial and neurobiological features,EUROPEAN JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,,,"Jia, Tianye/AAC-3925-2019; Martinot, Jean-Luc/N-3704-2018; Desrivieres, Sylvane/B-7399-2011","Jia, Tianye/0000-0001-5399-2953; Loth, Eva/0000-0001-9458-9167; Bromberg, Uli/0000-0003-4974-971X; Desrivieres, Sylvane/0000-0002-9120-7060; Spechler, Philip/0000-0003-3833-7672; Allgaier, Nicholas/0000-0002-9498-0200; Flor, Herta/0000-0003-4809-5398",,,,,,,,,,,,0953-816X,1460-9568,,,,AUG,2019,50,3,,,SI,,2346,2356,,10.1111/ejn.13989,,,,,,,WOS:000486177300030,29889330,,,,
